timestamp,T_entrada_C,T_saida_C,Vazao_casca_kg_h,Vazao_tubo_kg_h,P_casca_bar
2026-08-12 06:00:00,120.1524,84.4344,501.5279,794.2731,3.8617
2026-08-12 06:01:00,119.5062,85.0396,504.7308,801.3247,3.5881
2026-08-12 06:02:00,120.4276,83.8872,504.2855,789.0817,3.4169
2026-08-12 06:03:00,120.5488,86.7954,506.4893,802.5018,3.7985
2026-08-12 06:04:00,119.1292,84.2899,501.0371,794.6269,3.4604
2026-08-12 06:05:00,119.4798,84.9519,502.8254,799.0749,3.5356
2026-08-12 06:06:00,120.2209,87.4694,504.1268,811.4964,3.4458
2026-08-12 06:07:00,120.0250,86.5327,502.5383,807.4322,3.7698
2026-08-12 06:08:00,120.2009,84.8240,500.1046,808.7225,3.5094
2026-08-12 06:09:00,119.8089,84.2825,500.6885,790.5234,3.5507
2026-08-12 06:10:00,120.7012,85.1302,498.5227,819.9046,3.7119
2026-08-12 06:11:00,120.6764,85.9496,504.9779,796.1892,3.6223
2026-08-12 06:12:00,120.3466,85.1201,502.6586,818.4658,3.5294
2026-08-12 06:13:00,120.9032,85.1919,500.0711,814.9209,3.7073
2026-08-12 06:14:00,120.5994,86.8568,500.3335,811.8763,3.9246
2026-08-12 06:15:00,119.9619,84.8610,497.8498,800.9247,3.5945
2026-08-12 06:16:00,120.6019,87.6908,509.0524,809.4818,3.5675
2026-08-12 06:17:00,119.9640,85.0673,504.8070,805.0038,3.5787
2026-08-12 06:18:00,120.9085,87.3759,500.3549,809.5028,3.7528
2026-08-12 06:19:00,120.4702,85.6629,508.9658,807.7681,3.4694
2026-08-12 06:20:00,120.4285,86.2415,502.3741,793.9517,3.5206
2026-08-12 06:21:00,120.2062,84.4094,498.3963,819.7253,3.3348
2026-08-12 06:22:00,121.1837,84.9156,510.7864,810.5893,3.3909
2026-08-12 06:23:00,120.5208,85.7983,503.2453,807.8435,3.4939
2026-08-12 06:24:00,120.4096,86.2548,504.1358,807.7195,3.5662
2026-08-12 06:25:00,120.4733,85.3479,506.6347,815.5462,3.8430
2026-08-12 06:26:00,120.9410,84.3253,512.3891,806.0011,3.6611
2026-08-12 06:27:00,120.8831,84.2137,507.0225,795.5783,3.4469
2026-08-12 06:28:00,120.9321,84.1787,501.1718,817.3412,3.4775
2026-08-12 06:29:00,120.9666,83.8606,510.1305,818.6971,3.7959
2026-08-12 06:30:00,121.8473,86.3102,505.2287,813.4029,3.7617
2026-08-12 06:31:00,120.5985,86.5141,517.3345,806.2679,3.5999
2026-08-12 06:32:00,120.5708,85.3576,508.1291,816.6091,3.5323
2026-08-12 06:33:00,120.4452,83.0289,497.1980,804.6229,3.7704
2026-08-12 06:34:00,121.1851,85.5796,510.3970,808.5579,3.4556
2026-08-12 06:35:00,121.4666,85.7905,518.5688,811.2017,3.6663
2026-08-12 06:36:00,120.8701,87.6615,516.9594,824.3851,3.9513
2026-08-12 06:37:00,120.5318,83.8886,518.4671,815.1536,3.6442
2026-08-12 06:38:00,120.5645,84.9762,504.4444,814.8869,3.4999
2026-08-12 06:39:00,121.3267,87.5682,514.3332,834.5172,3.6807
2026-08-12 06:40:00,121.3977,86.3585,506.3900,822.1033,3.5515
2026-08-12 06:41:00,121.3222,86.4227,511.3473,822.3937,3.4158
2026-08-12 06:42:00,120.7423,85.5971,504.0852,817.1163,3.7329
2026-08-12 06:43:00,121.2156,86.1201,507.4500,815.6890,3.7982
2026-08-12 06:44:00,121.1822,86.5460,507.5115,803.3485,3.5868
2026-08-12 06:45:00,121.2574,85.0078,515.6042,828.9631,3.5796
2026-08-12 06:46:00,121.6079,86.9232,515.3317,825.1667,3.4948
2026-08-12 06:47:00,121.3080,84.4772,512.9270,820.5073,3.6193
2026-08-12 06:48:00,121.5597,86.3422,505.0036,821.1965,3.5602
2026-08-12 06:49:00,121.2779,86.0094,510.4083,828.5304,3.4956
2026-08-12 06:50:00,121.4124,85.3018,508.4446,810.5437,3.9338
2026-08-12 06:51:00,121.6072,86.0220,516.7303,818.5953,3.7227
2026-08-12 06:52:00,120.5865,84.7587,518.4773,814.5499,3.7413
2026-08-12 06:53:00,121.1788,84.6945,518.0707,838.1311,3.7906
2026-08-12 06:54:00,121.1268,85.3788,509.2129,831.2758,3.7764
2026-08-12 06:55:00,121.0658,84.5888,499.4893,806.9530,3.6014
2026-08-12 06:56:00,121.2708,86.1488,504.5478,812.7610,3.7069
2026-08-12 06:57:00,122.1789,85.2662,520.6841,824.1014,3.6283
2026-08-12 06:58:00,121.0215,86.3760,511.7608,821.6619,3.7370
2026-08-12 06:59:00,121.9614,85.0934,510.2022,815.1200,3.7250
2026-08-12 07:00:00,120.6586,84.8618,522.3554,841.5389,3.6189
2026-08-12 07:01:00,121.3552,85.2563,520.6518,828.7389,3.4795
2026-08-12 07:02:00,121.6265,87.3824,514.6297,830.2870,3.7033
2026-08-12 07:03:00,121.8606,86.5397,513.2194,821.1941,3.6532
2026-08-12 07:04:00,121.9454,86.0528,514.2024,832.7420,3.4028
2026-08-12 07:05:00,122.0086,86.8043,516.1726,824.1458,3.7649
2026-08-12 07:06:00,121.4596,83.8415,523.2084,825.1396,3.8360
2026-08-12 07:07:00,121.4246,85.8829,517.4892,832.5032,4.0729
2026-08-12 07:08:00,122.1066,88.3668,519.1731,814.7835,3.6373
2026-08-12 07:09:00,121.6036,86.1747,521.5527,840.7836,3.6176
2026-08-12 07:10:00,121.0829,85.7718,510.0187,829.6499,3.5343
2026-08-12 07:11:00,121.1755,86.3122,519.7994,838.6131,3.7344
2026-08-12 07:12:00,121.3036,86.7430,514.7075,819.9283,3.7357
2026-08-12 07:13:00,122.0330,84.3240,503.7524,821.3038,3.5859
2026-08-12 07:14:00,121.8767,84.5375,505.8417,819.5426,3.6837
2026-08-12 07:15:00,122.1715,86.6218,511.5388,830.9802,3.4153
2026-08-12 07:16:00,121.6334,85.3468,519.4295,829.6367,3.8533
2026-08-12 07:17:00,121.9468,87.5775,517.4836,825.5158,3.6009
2026-08-12 07:18:00,122.2008,86.1153,517.9746,821.2319,3.7135
2026-08-12 07:19:00,121.7536,84.2053,526.9428,819.3160,3.5068
2026-08-12 07:20:00,122.1568,85.1339,510.9751,829.1564,3.6356
2026-08-12 07:21:00,121.6174,83.3016,517.3128,825.9060,3.6831
2026-08-12 07:22:00,121.7867,85.9272,519.0985,824.2232,3.7254
2026-08-12 07:23:00,121.7970,85.9797,514.0184,842.1531,3.8011
2026-08-12 07:24:00,121.4095,85.4917,517.9618,829.1771,3.9470
2026-08-12 07:25:00,122.2703,87.5545,509.9377,840.0462,3.8431
2026-08-12 07:26:00,121.8113,87.3759,525.1012,825.6609,3.8794
2026-08-12 07:27:00,122.0713,86.1760,514.7548,831.9171,3.9540
2026-08-12 07:28:00,122.3243,84.3761,528.4279,829.5379,3.8244
2026-08-12 07:29:00,122.3260,87.1292,518.2135,816.4145,3.7353
2026-08-12 07:30:00,122.4540,87.1505,523.6179,841.4267,3.8941
2026-08-12 07:31:00,122.0905,86.6682,518.3097,828.9142,3.9055
2026-08-12 07:32:00,121.9464,87.2466,518.5179,835.9531,3.8436
2026-08-12 07:33:00,122.1363,85.2237,515.8437,823.9427,3.5299
2026-08-12 07:34:00,121.3504,87.8865,519.4484,828.6082,3.6237
2026-08-12 07:35:00,121.4883,85.0080,520.5286,822.9510,3.7104
2026-08-12 07:36:00,121.5681,86.7685,515.0998,839.7236,3.8702
2026-08-12 07:37:00,121.7482,84.4490,518.4752,832.2677,3.7518
2026-08-12 07:38:00,122.4640,85.6713,516.1259,832.6445,3.9271
2026-08-12 07:39:00,121.8285,87.7049,530.7474,840.4961,3.9555
2026-08-12 07:40:00,122.1091,86.1100,518.8699,838.7950,3.9397
2026-08-12 07:41:00,122.9645,87.7668,527.1108,835.5716,3.9422
2026-08-12 07:42:00,122.1533,86.6366,518.4693,817.9706,3.6073
2026-08-12 07:43:00,122.7166,86.6608,520.8033,823.6657,3.8368
2026-08-12 07:44:00,121.8972,87.5970,512.9561,821.0778,3.6747
2026-08-12 07:45:00,122.2773,86.2436,517.3803,834.7980,3.5199
2026-08-12 07:46:00,121.9209,84.4678,520.7178,830.2031,3.7256
2026-08-12 07:47:00,122.2421,85.6541,527.6411,817.5650,3.9688
2026-08-12 07:48:00,122.8472,87.4019,520.8637,827.0217,3.8406
2026-08-12 07:49:00,121.5787,86.4217,526.7116,816.4127,4.0754
2026-08-12 07:50:00,122.6747,85.1715,523.0325,827.7655,3.8006
2026-08-12 07:51:00,122.5912,85.9600,527.9984,814.7644,4.1425
2026-08-12 07:52:00,122.1900,85.8418,519.5952,832.0461,3.8032
2026-08-12 07:53:00,121.7786,85.7906,531.8672,830.6388,3.7811
2026-08-12 07:54:00,122.5521,85.2829,517.5114,842.6700,3.5870
2026-08-12 07:55:00,122.2654,85.8442,516.1249,833.9722,3.9467
2026-08-12 07:56:00,122.6605,86.0007,513.9223,823.5805,3.7059
