timestamp,T_entrada_C,T_saida_C,Vazao_casca_kg_h,Vazao_tubo_kg_h,P_casca_bar
2026-08-12 06:00:00,120.1524,84.4344,501.5279,794.2731,3.8617
2026-08-12 06:01:00,119.5062,85.0479,504.7308,801.3247,3.5881
2026-08-12 06:02:00,120.4276,83.9039,504.2855,789.0817,3.4169
2026-08-12 06:03:00,120.5488,86.8204,506.4893,802.5018,3.7985
2026-08-12 06:04:00,119.1292,84.3233,501.0371,794.6269,3.4604
2026-08-12 06:05:00,119.4798,84.9936,502.8254,799.0749,3.5356
2026-08-12 06:06:00,120.2209,87.5194,504.1268,811.4964,3.4458
2026-08-12 06:07:00,120.0250,86.5910,502.5383,807.4322,3.7698
2026-08-12 06:08:00,120.2009,84.8907,500.1046,808.7225,3.5094
2026-08-12 06:09:00,119.8089,84.3575,500.6885,790.5234,3.5507
2026-08-12 06:10:00,120.7012,85.2135,498.5227,819.9046,3.7119
2026-08-12 06:11:00,120.6764,86.0412,504.9779,796.1892,3.6223
2026-08-12 06:12:00,120.3466,85.2201,502.6586,818.4658,3.5294
2026-08-12 06:13:00,120.9032,85.3002,500.0711,814.9209,3.7073
2026-08-12 06:14:00,120.5994,86.9734,500.3335,811.8763,3.9246
2026-08-12 06:15:00,119.9619,84.9860,497.8498,800.9247,3.5945
2026-08-12 06:16:00,120.6019,87.8242,509.0524,809.4818,3.5675
2026-08-12 06:17:00,119.9640,85.2090,504.8070,805.0038,3.5787
2026-08-12 06:18:00,120.9085,87.5259,500.3549,809.5028,3.7528
2026-08-12 06:19:00,120.4702,85.8213,508.9658,807.7681,3.4694
2026-08-12 06:20:00,120.4285,86.4082,502.3741,793.9517,3.5206
2026-08-12 06:21:00,120.2062,84.5844,498.3963,819.7253,3.3348
2026-08-12 06:22:00,121.1837,85.0990,510.7864,810.5893,3.3909
2026-08-12 06:23:00,120.5208,85.9899,503.2453,807.8435,3.4939
2026-08-12 06:24:00,120.4096,86.4548,504.1358,807.7195,3.5662
2026-08-12 06:25:00,120.4733,85.5562,506.6347,815.5462,3.8430
2026-08-12 06:26:00,120.9410,84.5419,512.3891,806.0011,3.6611
2026-08-12 06:27:00,120.8831,84.4387,507.0225,795.5783,3.4469
2026-08-12 06:28:00,120.9321,84.4121,501.1718,817.3412,3.4775
2026-08-12 06:29:00,120.9666,84.1023,510.1305,818.6971,3.7959
2026-08-12 06:30:00,121.8473,86.5602,505.2287,813.4029,3.7617
2026-08-12 06:31:00,120.5985,86.7724,517.3345,806.2679,3.5999
2026-08-12 06:32:00,120.5708,85.6243,508.1291,816.6091,3.5323
2026-08-12 06:33:00,120.4452,83.3039,497.1980,804.6229,3.7704
2026-08-12 06:34:00,121.1851,85.8629,510.3970,808.5579,3.4556
2026-08-12 06:35:00,121.4666,86.0822,518.5688,811.2017,3.6663
2026-08-12 06:36:00,120.8701,87.9615,516.9594,824.3851,3.9513
2026-08-12 06:37:00,120.5318,84.1969,518.4671,815.1536,3.6442
2026-08-12 06:38:00,120.5645,85.2929,504.4444,814.8869,3.4999
2026-08-12 06:39:00,121.3267,87.8932,514.3332,834.5172,3.6807
2026-08-12 06:40:00,121.3977,86.6918,506.3900,822.1033,3.5515
2026-08-12 06:41:00,121.3222,86.7644,511.3473,822.3937,3.4158
2026-08-12 06:42:00,120.7423,85.9471,504.0852,817.1163,3.7329
2026-08-12 06:43:00,121.2156,86.4784,507.4500,815.6890,3.7982
2026-08-12 06:44:00,121.1822,86.9127,507.5115,803.3485,3.5868
2026-08-12 06:45:00,121.2574,85.3828,515.6042,828.9631,3.5796
2026-08-12 06:46:00,121.6079,87.3065,515.3317,825.1667,3.4948
2026-08-12 06:47:00,121.3080,84.8689,512.9270,820.5073,3.6193
2026-08-12 06:48:00,121.5597,86.7422,505.0036,821.1965,3.5602
2026-08-12 06:49:00,121.2779,86.4177,510.4083,828.5304,3.4956
2026-08-12 06:50:00,121.4124,85.7184,508.4446,810.5437,3.9338
2026-08-12 06:51:00,121.6072,86.4470,516.7303,818.5953,3.7227
2026-08-12 06:52:00,120.5865,85.1920,518.4773,814.5499,3.7413
2026-08-12 06:53:00,121.1788,85.1362,518.0707,838.1311,3.7906
2026-08-12 06:54:00,121.1268,85.8288,509.2129,831.2758,3.7764
2026-08-12 06:55:00,121.0658,85.0471,499.4893,806.9530,3.6014
2026-08-12 06:56:00,121.2708,86.6155,504.5478,812.7610,3.7069
2026-08-12 06:57:00,122.1789,85.7412,520.6841,824.1014,3.6283
2026-08-12 06:58:00,121.0215,86.8593,511.7608,821.6619,3.7370
2026-08-12 06:59:00,121.9614,85.5851,510.2022,815.1200,3.7250
2026-08-12 07:00:00,120.6586,85.3618,522.3554,841.5389,3.6189
2026-08-12 07:01:00,121.3552,85.7646,520.6518,828.7389,3.4795
2026-08-12 07:02:00,121.6265,87.8990,514.6297,830.2870,3.7033
2026-08-12 07:03:00,121.8606,87.0647,513.2194,821.1941,3.6532
2026-08-12 07:04:00,121.9454,86.5861,514.2024,832.7420,3.4028
2026-08-12 07:05:00,122.0086,87.3460,516.1726,824.1458,3.7649
2026-08-12 07:06:00,121.4596,84.3915,523.2084,825.1396,3.8360
2026-08-12 07:07:00,121.4246,86.4412,517.4892,832.5032,4.0729
2026-08-12 07:08:00,122.1066,88.9334,519.1731,814.7835,3.6373
2026-08-12 07:09:00,121.6036,86.7497,521.5527,840.7836,3.6176
2026-08-12 07:10:00,121.0829,86.3551,510.0187,829.6499,3.5343
2026-08-12 07:11:00,121.1755,86.9038,519.7994,838.6131,3.7344
2026-08-12 07:12:00,121.3036,87.3430,514.7075,819.9283,3.7357
2026-08-12 07:13:00,122.0330,84.9323,503.7524,821.3038,3.5859
2026-08-12 07:14:00,121.8767,85.1542,505.8417,819.5426,3.6837
2026-08-12 07:15:00,122.1715,87.2468,511.5388,830.9802,3.4153
2026-08-12 07:16:00,121.6334,85.9801,519.4295,829.6367,3.8533
2026-08-12 07:17:00,121.9468,88.2191,517.4836,825.5158,3.6009
2026-08-12 07:18:00,122.2008,86.7653,517.9746,821.2319,3.7135
2026-08-12 07:19:00,121.7536,84.8636,526.9428,819.3160,3.5068
2026-08-12 07:20:00,122.1568,85.8005,510.9751,829.1564,3.6356
2026-08-12 07:21:00,121.6174,83.9766,517.3128,825.9060,3.6831
2026-08-12 07:22:00,121.7867,86.6105,519.0985,824.2232,3.7254
2026-08-12 07:23:00,121.7970,86.6713,514.0184,842.1531,3.8011
2026-08-12 07:24:00,121.4095,86.1917,517.9618,829.1771,3.9470
2026-08-12 07:25:00,122.2703,88.2629,509.9377,840.0462,3.8431
2026-08-12 07:26:00,121.8113,88.0925,525.1012,825.6609,3.8794
2026-08-12 07:27:00,122.0713,86.9010,514.7548,831.9171,3.9540
2026-08-12 07:28:00,122.3243,85.1095,528.4279,829.5379,3.8244
2026-08-12 07:29:00,122.3260,87.8708,518.2135,816.4145,3.7353
2026-08-12 07:30:00,122.4540,87.9005,523.6179,841.4267,3.8941
2026-08-12 07:31:00,122.0905,87.4266,518.3097,828.9142,3.9055
2026-08-12 07:32:00,121.9464,88.0133,518.5179,835.9531,3.8436
2026-08-12 07:33:00,122.1363,85.9987,515.8437,823.9427,3.5299
2026-08-12 07:34:00,121.3504,88.6698,519.4484,828.6082,3.6237
2026-08-12 07:35:00,121.4883,85.7996,520.5286,822.9510,3.7104
2026-08-12 07:36:00,121.5681,87.5685,515.0998,839.7236,3.8702
2026-08-12 07:37:00,121.7482,85.2573,518.4752,832.2677,3.7518
2026-08-12 07:38:00,122.4640,86.4880,516.1259,832.6445,3.9271
2026-08-12 07:39:00,121.8285,88.5299,530.7474,840.4961,3.9555
2026-08-12 07:40:00,122.1091,86.9433,518.8699,838.7950,3.9397
2026-08-12 07:41:00,122.9645,88.6085,527.1108,835.5716,3.9422
2026-08-12 07:42:00,122.1533,87.4866,518.4693,817.9706,3.6073
2026-08-12 07:43:00,122.7166,87.5192,520.8033,823.6657,3.8368
2026-08-12 07:44:00,121.8972,88.4637,512.9561,821.0778,3.6747
2026-08-12 07:45:00,122.2773,87.1186,517.3803,834.7980,3.5199
2026-08-12 07:46:00,121.9209,85.3512,520.7178,830.2031,3.7256
2026-08-12 07:47:00,122.2421,86.5458,527.6411,817.5650,3.9688
2026-08-12 07:48:00,122.8472,88.3019,520.8637,827.0217,3.8406
2026-08-12 07:49:00,121.5787,87.3300,526.7116,816.4127,4.0754
2026-08-12 07:50:00,122.6747,86.0881,523.0325,827.7655,3.8006
2026-08-12 07:51:00,122.5912,86.8850,527.9984,814.7644,4.1425
2026-08-12 07:52:00,122.1900,86.7751,519.5952,832.0461,3.8032
2026-08-12 07:53:00,121.7786,86.7323,531.8672,830.6388,3.7811
2026-08-12 07:54:00,122.5521,86.2329,517.5114,842.6700,3.5870
2026-08-12 07:55:00,122.2654,86.8025,516.1249,833.9722,3.9467
2026-08-12 07:56:00,122.6605,86.9674,513.9223,823.5805,3.7059
2026-08-12 07:57:00,122.5688,88.4163,531.6397,833.2748,3.6852
2026-08-12 07:58:00,123.3724,88.9845,524.0904,815.3071,3.9755
2026-08-12 07:59:00,122.4652,87.4482,518.3277,818.5388,3.9581
2026-08-12 08:00:00,122.0863,86.9641,526.2451,828.6459,3.9551
2026-08-12 08:01:00,122.7007,87.9037,523.4367,808.4490,3.7319
2026-08-12 08:02:00,122.7339,86.9771,529.8238,825.1442,3.7795
2026-08-12 08:03:00,123.3160,87.0336,512.2454,816.9980,3.7791
2026-08-12 08:04:00,123.0664,87.0863,518.6458,825.6816,3.9063
2026-08-12 08:05:00,122.8395,87.2525,517.6446,815.9527,4.0228
2026-08-12 08:06:00,123.4047,87.0996,510.0699,827.6645,3.8458
2026-08-12 08:07:00,122.0904,87.5792,525.2177,824.1137,4.0876
2026-08-12 08:08:00,122.3765,88.3411,518.5385,834.8432,3.9267
2026-08-12 08:09:00,122.2445,85.9468,523.5595,823.3683,3.7576
2026-08-12 08:10:00,122.5240,87.7491,531.6278,816.8322,3.9178
2026-08-12 08:11:00,122.0415,87.1987,518.0268,820.6662,4.0500
2026-08-12 08:12:00,123.0582,88.4293,517.6480,811.5405,4.0944
2026-08-12 08:13:00,122.6401,87.8114,520.3044,825.1897,3.9733
2026-08-12 08:14:00,122.0261,85.9800,524.6013,826.2990,3.7996
2026-08-12 08:15:00,122.2638,86.3341,516.7821,840.9668,3.7638
2026-08-12 08:16:00,122.9383,88.0727,516.4081,815.8651,3.8832
2026-08-12 08:17:00,123.2103,89.2572,524.7928,818.3176,4.0483
2026-08-12 08:18:00,123.7991,86.4052,521.3406,815.4678,3.8627
2026-08-12 08:19:00,124.2669,89.2776,509.1610,821.3787,3.8662
2026-08-12 08:20:00,123.0263,89.3234,513.1916,822.3372,3.8061
2026-08-12 08:21:00,122.3332,87.5385,526.7553,818.4526,3.7495
2026-08-12 08:22:00,121.7705,87.8844,521.1860,827.1605,3.7746
2026-08-12 08:23:00,122.9788,87.4248,515.2894,813.1186,3.8195
2026-08-12 08:24:00,122.4467,87.6710,518.1691,825.5229,4.0571
2026-08-12 08:25:00,122.6535,86.3122,519.0048,821.5153,3.7636
2026-08-12 08:26:00,122.5629,85.5382,522.5315,816.6795,3.8076
2026-08-12 08:27:00,122.8061,88.9917,511.9725,813.8197,3.6700
2026-08-12 08:28:00,123.4168,87.4692,514.4669,835.3109,3.9074
2026-08-12 08:29:00,122.9694,87.7163,519.9410,808.9151,4.0050
2026-08-12 08:30:00,122.8185,86.6956,517.9784,817.3835,4.0437
2026-08-12 08:31:00,122.3866,,521.2351,808.5425,3.8305
2026-08-12 08:32:00,122.0735,87.4406,512.1234,828.3691,3.8861
2026-08-12 08:33:00,122.6740,87.2835,519.9485,820.7143,3.7768
2026-08-12 08:34:00,122.8962,88.5438,523.5096,807.7243,3.8789
2026-08-12 08:35:00,123.8129,89.2226,520.3715,816.7793,3.8467
2026-08-12 08:36:00,122.9996,88.5706,518.5157,814.2637,3.8081
2026-08-12 08:37:00,123.4311,88.7772,517.2203,807.5889,3.8199
2026-08-12 08:38:00,122.6952,89.6463,513.4021,817.3035,3.8667
2026-08-12 08:39:00,122.3573,86.7896,517.0899,813.8655,3.7545
2026-08-12 08:40:00,122.4719,87.8851,523.6190,811.9862,3.7620
2026-08-12 08:41:00,122.5962,89.1619,516.5930,809.4317,4.0541
2026-08-12 08:42:00,124.0273,90.2323,512.6038,812.7189,4.2042
2026-08-12 08:43:00,122.5564,86.5982,514.4533,810.6063,3.6166
2026-08-12 08:44:00,123.3900,88.2578,517.7777,808.7419,3.6079
2026-08-12 08:45:00,122.5229,89.3730,514.7618,802.6364,3.6527
2026-08-12 08:46:00,123.4434,89.1296,518.9090,820.8078,3.7803
2026-08-12 08:47:00,123.1732,88.6495,518.9470,798.3452,3.9296
2026-08-12 08:48:00,122.9052,88.0707,520.6253,809.6584,3.8834
2026-08-12 08:49:00,122.9658,87.9523,523.1429,803.1623,3.8199
2026-08-12 08:50:00,122.6612,88.4347,520.8464,819.2858,3.8728
2026-08-12 08:51:00,123.2138,88.2616,511.0351,797.4652,3.6890
2026-08-12 08:52:00,122.7652,88.1881,511.0252,798.2931,3.7555
2026-08-12 08:53:00,122.3816,88.0683,514.9980,795.8975,3.7883
2026-08-12 08:54:00,122.3569,87.3039,512.9522,805.7236,3.5529
2026-08-12 08:55:00,123.0834,88.9947,509.3452,791.6303,3.6156
2026-08-12 08:56:00,123.7877,91.8429,512.6544,798.2645,3.6207
2026-08-12 08:57:00,123.0790,86.6993,512.3139,784.3512,3.9027
2026-08-12 08:58:00,122.9402,88.7185,511.1482,802.9704,3.8240
2026-08-12 08:59:00,123.1428,87.7743,512.7471,796.5219,3.8779
2026-08-12 09:00:00,,,,,
2026-08-12 09:01:00,,,,,
2026-08-12 09:02:00,,,,,
2026-08-12 09:03:00,,,,,
2026-08-12 09:04:00,,,,,
2026-08-12 09:05:00,,,,,
2026-08-12 09:06:00,,,,,
2026-08-12 09:07:00,,,,,
2026-08-12 09:08:00,,,,,
2026-08-12 09:09:00,,,,,
2026-08-12 09:10:00,,,,,
2026-08-12 09:11:00,,,,,
2026-08-12 09:12:00,,,,,
2026-08-12 09:13:00,,,,,
2026-08-12 09:14:00,,,,,
2026-08-12 09:15:00,,,,,
2026-08-12 09:16:00,,,,,
2026-08-12 09:17:00,,,,,
2026-08-12 09:18:00,,,,,
2026-08-12 09:19:00,,,,,
2026-08-12 09:20:00,,,,,
2026-08-12 09:21:00,,,,,
2026-08-12 09:22:00,,,,,
2026-08-12 09:23:00,,,,,
2026-08-12 09:24:00,,,,,
2026-08-12 09:25:00,,,,,
2026-08-12 09:26:00,,,,,
2026-08-12 09:27:00,,,,,
2026-08-12 09:28:00,,,,,
2026-08-12 09:29:00,,,,,
2026-08-12 09:30:00,123.3557,88.4246,513.8445,792.2687,3.8083
2026-08-12 09:31:00,122.2277,89.4792,504.0858,786.8699,3.7673
2026-08-12 09:32:00,122.8991,89.1874,511.8542,798.4563,3.7090
2026-08-12 09:33:00,122.6344,88.1017,503.0016,771.6697,3.7295
2026-08-12 09:34:00,122.7051,88.3052,515.8072,783.1624,3.9308
2026-08-12 09:35:00,123.3625,87.4101,500.7599,785.7234,3.7337
2026-08-12 09:36:00,123.1222,89.2179,512.8227,775.0500,3.6719
2026-08-12 09:37:00,123.5137,87.3324,502.6484,784.3513,3.6445
2026-08-12 09:38:00,122.7593,89.3620,515.7465,772.6775,3.6440
2026-08-12 09:39:00,122.4800,,508.3854,786.6448,3.5147
2026-08-12 09:40:00,122.7071,90.9799,500.0963,789.1790,3.6104
2026-08-12 09:41:00,122.9313,87.6469,502.3119,782.4969,3.9456
2026-08-12 09:42:00,122.8890,88.6252,508.5748,765.1037,3.6877
2026-08-12 09:43:00,122.2491,90.1185,509.6772,771.8057,3.8222
2026-08-12 09:44:00,122.8268,89.8955,503.8047,783.6779,3.3425
2026-08-12 09:45:00,122.8858,88.0545,504.1251,778.9564,3.7974
2026-08-12 09:46:00,124.0203,89.7205,507.4365,756.8678,3.6857
2026-08-12 09:47:00,123.6896,89.2919,504.0460,788.0020,3.6354
2026-08-12 09:48:00,122.3140,88.6861,496.6612,778.7989,3.7325
2026-08-12 09:49:00,122.5862,87.8907,498.8050,770.8061,3.6287
2026-08-12 09:50:00,121.9872,88.1190,503.7861,784.9783,3.3822
2026-08-12 09:51:00,122.4124,86.8950,508.4282,771.2653,3.8367
2026-08-12 09:52:00,122.8542,88.9237,510.1705,770.8521,3.7325
2026-08-12 09:53:00,123.2877,89.5287,505.7277,778.9078,3.6465
2026-08-12 09:54:00,122.3085,88.2231,503.0056,789.9778,3.5463
2026-08-12 09:55:00,122.3340,86.8604,505.0521,788.4141,3.4683
2026-08-12 09:56:00,121.5752,88.9791,497.7130,778.0066,3.7199
2026-08-12 09:57:00,122.5551,89.0004,500.0190,778.5390,3.9259
2026-08-12 09:58:00,122.0927,87.6175,496.4029,780.8905,3.7119
2026-08-12 09:59:00,122.3463,88.2362,494.0181,764.2291,3.4715
2026-08-12 10:00:00,122.1596,86.9031,501.6677,779.1724,3.7101
2026-08-12 10:01:00,122.5378,87.6325,500.6658,767.8888,3.6658
2026-08-12 10:02:00,121.6926,87.5791,502.9147,776.0594,3.8008
2026-08-12 10:03:00,121.8244,89.4393,501.9454,771.4501,3.7596
2026-08-12 10:04:00,123.6088,88.7395,500.1665,777.0458,3.2181
2026-08-12 10:05:00,121.8865,88.9081,501.4750,773.7556,3.7452
2026-08-12 10:06:00,121.9676,87.7906,498.2174,748.0094,3.5102
2026-08-12 10:07:00,123.4201,89.5294,500.2344,773.8160,3.4448
2026-08-12 10:08:00,123.9396,89.4860,494.2787,777.3217,3.6271
2026-08-12 10:09:00,121.8866,89.1743,499.4978,775.5600,3.7144
2026-08-12 10:10:00,122.2733,88.0262,500.7316,770.9885,3.4039
2026-08-12 10:11:00,122.6131,87.2177,493.7817,784.7717,3.7530
2026-08-12 10:12:00,123.2914,87.8575,497.1305,773.9593,3.7590
