timestamp,T_top_C,T_base_C,P_coluna_kPa,F_alimentacao_kg_h,D_destilado_kg_h,B_residuo_kg_h,R_refluxo,composicao_destilado
2026-08-15 06:00:00,77.1186,100.1073,101.6624,980.3835,552.9662,427.4173,2.5659,0.9009
2026-08-15 06:01:00,78.3463,99.6858,101.0677,980.3245,544.0497,436.2748,2.6062,0.8873
2026-08-15 06:02:00,78.0707,99.7896,100.0859,993.5027,542.8387,450.6641,2.4626,0.8871
2026-08-15 06:03:00,78.5188,100.3212,101.9897,979.2869,544.5911,434.6958,2.4878,0.8700
2026-08-15 06:04:00,78.6889,99.3438,100.7029,985.9246,547.8004,438.1242,2.4906,0.8661
2026-08-15 06:05:00,78.1512,100.7718,99.6923,990.0304,550.0031,440.0273,2.5550,0.9082
2026-08-15 06:06:00,78.1799,100.1366,100.9763,984.3239,545.4352,438.8887,2.5423,0.8999
2026-08-15 06:07:00,77.9938,99.2881,100.7505,977.6004,547.9548,429.6456,2.5594,0.8945
2026-08-15 06:08:00,78.5437,99.3499,102.0198,974.5457,548.4609,426.0848,2.4257,0.8653
2026-08-15 06:09:00,77.9175,98.8264,100.7706,984.6939,549.1344,435.5594,2.6046,0.8885
2026-08-15 06:10:00,78.0283,99.2404,101.2058,989.1906,546.4088,442.7818,2.5427,0.8987
2026-08-15 06:11:00,78.3333,99.8007,101.7346,983.6939,547.7378,435.9561,2.5586,0.8878
2026-08-15 06:12:00,78.5782,99.3645,101.3414,987.1300,547.6845,439.4454,2.5494,0.8855
2026-08-15 06:13:00,78.2543,100.2343,102.1103,993.9212,547.1006,446.8205,2.4995,0.8952
2026-08-15 06:14:00,77.8592,100.3543,102.1425,985.1470,546.3020,438.8449,2.5568,0.9002
2026-08-15 06:15:00,77.8578,99.7364,100.5518,975.4556,548.4463,427.0092,2.5347,0.9039
2026-08-15 06:16:00,78.3195,99.5140,101.5901,981.2127,543.6642,437.5485,2.5340,0.8874
2026-08-15 06:17:00,78.1683,100.4599,102.5995,987.8072,543.6543,444.1529,2.5555,0.9059
2026-08-15 06:18:00,78.1912,99.4852,100.6160,979.7108,546.3676,433.3433,2.5257,0.8908
2026-08-15 06:19:00,77.8861,100.3707,100.3798,988.4819,544.7876,443.6944,2.4627,0.8973
2026-08-15 06:20:00,78.2908,98.8002,101.8487,980.6174,548.5430,432.0744,2.5217,0.9002
2026-08-15 06:21:00,78.1344,99.5422,100.6959,982.6225,549.2856,433.3369,2.6120,0.9070
2026-08-15 06:22:00,78.0219,100.1596,102.8897,979.1957,540.5725,438.6232,2.5030,0.8937
2026-08-15 06:23:00,78.5198,100.4290,101.0236,981.7458,548.3534,433.3924,2.5354,0.8761
2026-08-15 06:24:00,78.5634,99.2924,100.5672,982.0090,548.7489,433.2601,2.5724,0.8814
2026-08-15 06:25:00,77.8831,99.9014,100.8753,972.9027,550.6630,422.2397,2.6366,0.9151
2026-08-15 06:26:00,78.6135,98.7172,102.4452,978.7362,544.7994,433.9368,2.5178,0.8698
2026-08-15 06:27:00,78.2878,99.3169,100.2775,974.7768,546.6039,428.1729,2.4693,0.8880
2026-08-15 06:28:00,78.2472,99.9037,101.0219,978.9059,550.5225,428.3835,2.5642,0.8932
2026-08-15 06:29:00,77.8758,99.7694,101.0944,976.9643,544.9002,432.0642,2.4900,0.9059
2026-08-15 06:30:00,78.1168,99.0086,99.2513,985.9979,542.9106,443.0873,2.5453,0.8938
2026-08-15 06:31:00,78.3070,98.9700,100.9142,986.0545,545.9711,440.0834,2.5608,0.8991
2026-08-15 06:32:00,77.8753,99.5021,101.1475,983.7377,545.8321,437.9056,2.5065,0.9026
2026-08-15 06:33:00,77.5369,99.4960,100.6057,974.5966,538.8003,435.7963,2.5169,0.9177
2026-08-15 06:34:00,78.2051,99.6980,101.8789,980.4429,542.8689,437.5740,2.5714,0.9034
2026-08-15 06:35:00,77.9369,100.7432,101.9349,974.1963,546.5273,427.6690,2.5851,0.9117
2026-08-15 06:36:00,78.3817,99.1810,101.4122,980.1944,544.5341,435.6603,2.5326,0.8733
2026-08-15 06:37:00,77.8200,99.9414,100.3716,984.1667,540.7302,443.4366,2.5388,0.8913
2026-08-15 06:38:00,78.0369,99.6497,100.5768,985.8888,544.1027,441.7861,2.4742,0.8815
2026-08-15 06:39:00,78.2818,99.5430,102.1603,983.2912,544.3604,438.9308,2.5363,0.8923
2026-08-15 06:40:00,77.9040,100.3089,103.1564,987.2180,546.2198,440.9982,2.5108,0.9045
2026-08-15 06:41:00,78.2647,100.5075,102.0418,982.2231,543.3341,438.8890,2.5342,0.8865
2026-08-15 06:42:00,77.6864,98.9193,101.6726,979.7552,546.3743,433.3809,2.6012,0.9198
2026-08-15 06:43:00,78.2641,100.5478,100.5180,985.2900,545.2445,440.0455,2.4740,0.8861
2026-08-15 06:44:00,78.8559,100.5325,101.3767,985.4528,548.3573,437.0955,2.5890,0.8641
2026-08-15 06:45:00,78.6388,99.9039,100.2536,978.2983,546.7618,431.5365,2.5400,0.8898
2026-08-15 06:46:00,78.1832,99.5060,101.7489,982.8127,542.5673,440.2454,2.5289,0.8912
2026-08-15 06:47:00,78.5016,99.2038,100.9994,979.4449,548.7952,430.6497,2.4867,0.8817
2026-08-15 06:48:00,78.0368,100.6557,100.3515,970.8722,545.5545,425.3177,2.5441,0.8982
2026-08-15 06:49:00,78.3869,99.9723,100.9361,983.1144,543.6494,439.4650,2.6387,0.9041
2026-08-15 06:50:00,78.0076,100.3029,101.6133,974.4400,540.8976,433.5424,2.4027,0.8753
2026-08-15 06:51:00,78.2383,100.7075,101.4570,982.5524,547.0716,435.4808,2.4323,0.8808
2026-08-15 06:52:00,78.1978,100.4329,101.3390,973.2334,547.1476,426.0858,2.5212,0.8991
2026-08-15 06:53:00,78.4093,99.5373,101.5636,977.3103,546.9290,430.3813,2.5464,0.8823
2026-08-15 06:54:00,77.9592,99.0238,100.4241,978.7394,548.0584,430.6810,2.5770,0.8928
