timestamp,T_top_C,T_base_C,P_coluna_kPa,F_alimentacao_kg_h,D_destilado_kg_h,B_residuo_kg_h,R_refluxo,composicao_destilado
2026-08-22 06:00:00,78.7027,99.9531,102.5239,998.2547,559.9739,438.2809,2.2756,0.8000
2026-08-22 06:01:00,78.8226,98.7524,101.3379,1006.5136,559.7282,446.7854,2.5087,0.8000
2026-08-22 06:02:00,78.2458,99.5545,101.2214,1010.0724,556.0383,454.0341,2.3014,0.8486
2026-08-22 06:03:00,78.0870,98.4782,100.8027,1004.9604,558.5557,446.4047,2.3808,0.8987
2026-08-22 06:04:00,78.7119,99.6331,102.0350,1010.6809,552.2223,458.4586,2.3680,0.8000
2026-08-22 06:05:00,78.8149,99.4787,102.5034,1009.2840,557.7833,451.5007,2.4157,0.8000
2026-08-22 06:06:00,78.3133,98.9623,101.1668,1011.9514,556.6096,455.3418,2.4409,0.8500
2026-08-22 06:07:00,78.6593,99.8255,101.4238,1017.0766,558.4404,458.6362,2.3355,0.8000
2026-08-22 06:08:00,78.0838,98.9510,100.6949,1019.2837,558.1326,461.1511,2.3661,0.8989
2026-08-22 06:09:00,78.5172,99.6309,101.0524,1009.8760,555.1461,454.7299,2.3359,0.8000
2026-08-22 06:10:00,78.4307,99.6448,101.8408,1003.9226,557.3086,446.6140,2.3089,0.8076
2026-08-22 06:11:00,78.0783,99.6287,102.0925,1006.5351,556.8781,449.6571,2.3590,0.8925
2026-08-22 06:12:00,78.4961,100.5179,101.1823,1014.0964,554.2538,459.8426,2.3559,0.8000
2026-08-22 06:13:00,78.1809,99.8471,101.1472,1001.7681,552.1011,449.6670,2.3578,0.8734
2026-08-22 06:14:00,78.3136,99.8802,101.2728,1013.4767,549.3557,464.1210,2.3383,0.8342
2026-08-22 06:15:00,78.2758,99.2822,100.8202,1005.3929,556.9448,448.4482,2.3743,0.8573
2026-08-22 06:16:00,78.3770,99.6622,101.9479,1007.3823,558.6385,448.7439,2.3963,0.8266
2026-08-22 06:17:00,78.5571,98.7539,101.5391,1002.2124,555.4034,446.8090,2.2969,0.8000
2026-08-22 06:18:00,78.5447,99.2396,101.6954,999.6364,555.7452,443.8912,2.3881,0.8000
2026-08-22 06:19:00,78.0069,99.1531,100.4654,1004.8650,553.5587,451.3063,2.4353,0.9294
2026-08-22 06:20:00,78.7631,99.7378,102.0908,1012.7783,555.2505,457.5278,2.2934,0.8000
2026-08-22 06:21:00,78.4456,98.6939,100.7545,1002.7576,554.4131,448.3445,2.3649,0.8087
