timestamp,T_top_C,T_base_C,P_coluna_kPa,F_alimentacao_kg_h,D_destilado_kg_h,B_residuo_kg_h,R_refluxo,composicao
2026-08-01 06:00:00,78.2914,98.9800,101.9004,1004.7028,544.1469,460.5559,2.4349,0.8587
2026-08-01 06:08:38,78.1428,99.5142,100.6176,1007.4021,553.8359,453.5662,2.5146,0.9178
2026-08-01 06:17:17,78.4154,99.1152,101.5950,1001.1476,555.6063,445.5412,2.5200,0.8373
2026-08-01 06:25:55,78.1079,100.1778,101.1764,1006.6023,553.3156,453.2867,2.5603,0.9257
2026-08-01 06:34:34,78.4724,99.8028,103.0133,1009.3153,554.1370,455.1783,2.5039,0.8286
2026-08-01 06:43:12,78.7228,99.5502,100.6279,1009.5707,558.7983,450.7724,2.5924,0.8000
2026-08-01 06:51:51,78.2189,99.7416,101.3933,1016.8214,560.4783,456.3432,2.5768,0.9036
2026-08-01 07:00:29,78.4721,99.7869,101.8050,1010.1200,557.7439,452.3761,2.5520,0.8234
2026-08-01 07:09:08,78.4011,100.4048,100.6073,1023.5297,554.2955,469.2342,2.5684,0.8516
2026-08-01 07:17:46,78.6898,100.0258,101.9347,1017.8029,558.3862,459.4167,2.6371,0.8000
2026-08-01 07:26:25,78.1596,99.1143,100.5644,1022.4467,560.4077,462.0390,2.6372,0.9164
2026-08-01 07:35:03,78.6164,100.0022,101.0525,1022.2060,557.9753,464.2307,2.5925,0.8000
2026-08-01 07:43:42,78.2344,99.9390,100.9245,1019.4934,561.1577,458.3357,2.6403,0.9091
2026-08-01 07:52:20,78.5858,99.4873,101.2362,1010.0619,554.9079,455.1539,2.5585,0.8000
2026-08-01 08:00:59,78.7551,99.2472,100.9975,1023.6423,557.5043,466.1380,2.6674,0.8000
2026-08-01 08:09:37,78.5908,99.2234,101.0288,1019.6060,552.5203,467.0857,2.6575,0.8183
2026-08-01 08:18:16,78.4890,98.9713,101.3577,1010.6656,557.3545,453.3110,2.6413,0.8550
2026-08-01 08:26:54,78.6075,99.1760,101.4434,1012.0193,559.5372,452.4821,2.6855,0.8195
2026-08-01 08:35:33,79.1277,99.0844,100.7882,1003.6447,552.9694,450.6754,2.5778,0.8000
2026-08-01 08:44:11,78.6286,98.9321,100.4875,1007.0156,555.2384,451.7772,2.7484,0.8493
2026-08-01 08:52:50,78.8233,99.1593,99.5944,1003.8333,548.8085,455.0247,2.6289,0.8000
2026-08-01 09:01:28,78.6577,100.1717,101.4256,998.6916,546.6354,452.0562,2.5663,0.8000
2026-08-01 09:10:07,78.6819,100.5055,101.4042,1001.4002,546.7453,454.6548,2.5902,0.8000
2026-08-01 09:18:45,78.4757,100.6670,100.6429,997.7604,544.0752,453.6852,2.6946,0.8541
2026-08-01 09:27:24,78.6388,99.5624,100.7762,993.0259,544.0328,448.9931,2.5845,0.8000
2026-08-01 09:36:02,78.7272,100.3512,101.4280,987.6389,544.9735,442.6654,2.7079,0.8000
2026-08-01 09:44:41,78.5392,100.0930,101.6430,993.6146,543.5176,450.0970,2.5775,0.8031
2026-08-01 09:53:19,79.1421,100.3793,101.1564,982.0430,546.3638,435.6792,2.5787,0.8000
2026-08-01 10:01:58,78.8217,99.2975,101.2959,981.5290,542.1858,439.3432,2.6990,0.8000
2026-08-01 10:10:36,78.8012,98.4472,101.2610,976.9182,536.9107,440.0075,2.5785,0.8000
2026-08-01 10:19:15,78.8599,98.7869,101.3245,977.9300,539.1924,438.7376,2.6657,0.8000
2026-08-01 10:27:53,78.9612,99.3513,100.7432,978.8942,540.7342,438.1600,2.6168,0.8000
2026-08-01 10:36:32,78.5600,99.5221,103.3140,989.5142,537.5053,452.0089,2.5855,0.8000
2026-08-01 10:45:10,78.3266,99.5463,102.2647,977.0522,538.3863,438.6658,2.4838,0.8543
2026-08-01 10:53:49,78.1543,99.1058,100.5985,981.2321,535.5785,445.6536,2.5085,0.9240
2026-08-01 11:02:27,78.0544,98.8057,102.7695,997.6501,538.0477,459.6024,2.5538,0.9379
2026-08-01 11:11:06,78.9255,98.8462,101.1038,988.8159,543.7689,445.0470,2.5433,0.8000
2026-08-01 11:19:44,77.9596,99.2080,101.0869,988.2368,541.8720,446.3648,2.5752,0.9500
2026-08-01 11:28:23,78.3828,99.4928,101.3425,989.5164,542.5933,446.9231,2.5567,0.8518
2026-08-01 11:37:01,78.9275,100.0957,101.6087,988.3789,542.7599,445.6190,2.5894,0.8000
2026-08-01 11:45:40,78.4064,98.4312,102.0420,997.3217,544.1935,453.1282,2.4951,0.8403
2026-08-01 11:54:18,78.2406,99.1545,101.2172,996.7575,549.4664,447.2911,2.5810,0.8663
2026-08-01 12:02:57,78.1161,99.3884,101.5368,999.1706,545.2449,453.9257,2.5125,0.9301
2026-08-01 12:11:35,77.6893,99.7342,101.0372,1003.7130,548.8511,454.8619,2.4681,0.9500
2026-08-01 12:20:14,78.2870,100.1731,102.2419,1009.1132,558.6907,450.4225,2.4956,0.8759
2026-08-01 12:28:52,77.9864,99.3474,100.7421,1014.6068,551.2945,463.3123,2.5017,0.9418
2026-08-01 12:37:31,78.3906,99.6991,102.7565,1015.8345,551.3742,464.4603,2.4484,0.8229
2026-08-01 12:46:09,77.8485,100.0910,101.8100,1010.9312,554.1718,456.7594,2.4428,0.9500
2026-08-01 12:54:48,77.7685,99.5053,102.2242,1019.3873,551.2979,468.0894,2.4462,0.9500
2026-08-01 13:03:26,78.0613,100.1732,99.6494,1014.9345,560.7178,454.2168,2.3420,0.9158
2026-08-01 13:12:05,78.0163,99.8059,100.8432,1023.0992,562.7206,460.3786,2.4234,0.9268
2026-08-01 13:20:43,77.9573,98.9700,101.1820,1018.9761,561.0195,457.9566,2.4528,0.9330
2026-08-01 13:29:22,77.8109,100.1627,100.7051,1015.8875,560.6063,455.2812,2.4367,0.9500
2026-08-01 13:38:00,78.2213,99.8716,101.9735,1022.5754,566.8854,455.6900,2.3765,0.8461
2026-08-01 13:46:39,78.2802,99.2364,101.3863,1025.7089,554.7738,470.9351,2.3171,0.8265
2026-08-01 13:55:17,77.5394,99.7075,101.7194,1019.4638,554.8029,464.6609,2.2578,0.9500
2026-08-01 14:03:56,77.6171,99.7400,101.8616,1017.2843,560.5769,456.7073,2.3791,0.9500
2026-08-01 14:12:34,77.5308,99.4430,101.4574,1018.8297,556.1823,462.6474,2.3887,0.9500
2026-08-01 14:21:13,77.6931,99.9696,99.7056,1006.0442,551.8167,454.2275,2.2418,0.9500
2026-08-01 14:29:51,77.9420,99.4338,101.4582,1015.4878,559.0039,456.4839,2.3517,0.9458
2026-08-01 14:38:30,77.7364,99.1779,100.8245,999.9261,551.0000,448.9261,2.3347,0.9500
2026-08-01 14:47:08,78.2194,98.9246,101.6143,999.2468,553.6489,445.5980,2.3444,0.8435
2026-08-01 14:55:47,77.9788,99.3309,100.8729,996.1205,548.7718,447.3487,2.3715,0.9241
2026-08-01 15:04:25,77.7990,99.8303,102.3565,996.7416,544.7972,451.9444,2.4035,0.9500
2026-08-01 15:13:04,78.0376,99.8551,101.1951,997.2208,553.5915,443.6293,2.4548,0.9245
2026-08-01 15:21:42,77.7570,100.2135,100.6235,994.2664,546.2229,448.0435,2.3684,0.9500
2026-08-01 15:30:21,77.2406,98.6486,100.4061,987.5998,544.0670,443.5328,2.4521,0.9500
2026-08-01 15:38:59,77.4400,99.8663,100.9743,985.9929,544.2633,441.7296,2.3896,0.9500
2026-08-01 15:47:38,78.0617,99.1264,101.3051,998.2104,543.2803,454.9302,2.4344,0.9156
2026-08-01 15:56:16,77.9333,99.6714,101.1637,979.4675,542.9734,436.4942,2.3252,0.9371
2026-08-01 16:04:55,78.1037,99.8829,101.0710,984.1553,540.0167,444.1386,2.4202,0.8838
2026-08-01 16:13:33,77.6989,98.7015,100.1040,987.6367,543.0943,444.5425,2.3439,0.9500
2026-08-01 16:22:12,76.9339,99.4199,103.2363,982.3593,538.4137,443.9456,2.4102,0.9500
2026-08-01 16:30:50,77.7599,99.7337,101.2311,983.9562,541.0350,442.9212,2.4281,0.9500
2026-08-01 16:39:29,78.1462,100.4883,100.5239,975.8351,544.1441,431.6910,2.3935,0.9015
2026-08-01 16:48:07,77.7738,100.3891,101.4052,982.2840,545.1906,437.0934,2.3939,0.9500
2026-08-01 16:56:46,77.8033,99.8734,100.0474,985.3311,539.4556,445.8756,2.4788,0.9500
2026-08-01 17:05:24,77.7348,98.7878,100.6390,984.9384,541.3124,443.6261,2.4185,0.9500
2026-08-01 17:14:03,78.0659,99.1089,101.8655,988.9398,543.9684,444.9715,2.4693,0.9219
2026-08-01 17:22:41,78.6506,99.5503,101.0543,984.1116,540.8428,443.2688,2.3898,0.8000
2026-08-01 17:31:20,78.0550,99.7404,101.3409,986.5796,547.9042,438.6754,2.4998,0.9246
2026-08-01 17:39:58,77.9172,99.8260,101.4504,985.9124,546.3726,439.5398,2.4870,0.9498
2026-08-01 17:48:37,78.2074,98.8023,102.3689,1002.2940,547.2696,455.0244,2.5033,0.8645
2026-08-01 17:57:15,77.8412,99.3603,100.4423,1002.6171,555.5145,447.1027,2.4376,0.9500
2026-08-01 18:05:54,78.2964,100.2901,100.3221,1003.3028,556.4927,446.8101,2.4251,0.8419
2026-08-01 18:14:32,78.1362,99.2019,101.9501,1006.2317,547.1868,459.0449,2.5448,0.9069
