timestamp,S_1,S_2,S_3,S_4,S_5,S_6,ruido_1,ruido_2,ruido_3,ruido_4,ruido_5,ruido_6,ruido_7,ruido_8,ruido_9,ruido_10,ruido_11,ruido_12,ruido_13,ruido_14,ruido_15,ruido_16,ruido_17,ruido_18,ruido_19,ruido_20,composicao
2026-08-01 06:00:00,-0.6342,0.1077,0.1184,0.1483,0.3342,-1.0384,1.5078,-0.1974,0.2948,-0.6562,0.3115,2.0770,-0.9893,-1.1156,-0.8645,-0.3332,-0.5214,-1.0407,-0.0497,1.5611,-0.1498,-0.0964,0.3429,0.6477,1.3732,0.2400,0.4630
2026-08-01 14:05:23,-0.9915,0.7400,-0.8445,-0.8755,0.1931,1.5415,0.7265,-0.0375,-0.9816,1.5221,-0.0566,-0.2902,0.5552,-0.4481,-0.7530,-0.6571,-0.6598,-1.1274,-1.2389,0.9720,0.6688,-0.8228,0.8884,0.3093,-0.3238,-1.2258,0.3741
2026-08-01 22:10:47,1.8654,0.0146,0.9987,-0.2117,0.9218,-0.1502,-2.4053,-0.7217,0.1323,1.0826,-0.1535,0.0298,-0.5873,1.5609,1.5007,-0.6762,-1.5164,-1.8072,0.6034,0.1352,-0.7818,0.2718,-1.2303,0.7949,-0.3823,-1.0815,0.7540
2026-08-02 06:16:10,-0.4015,0.3651,1.1660,1.1141,0.1596,-0.1872,-0.5686,-1.7680,-0.0192,-0.8510,1.2183,-0.2007,0.7471,-0.4825,-0.6755,0.6048,0.2776,0.3222,-0.0938,0.7894,0.6448,-2.1768,-0.2575,1.0147,-1.0195,-1.6924,0.4584
2026-08-02 14:21:34,0.5207,-0.4605,1.2929,1.8436,-1.9251,-0.3840,-2.2818,0.6610,-0.6799,-0.4758,1.1481,-1.3284,-1.5796,-2.2775,1.2705,1.0382,-0.2939,-1.2752,0.8341,2.7547,-0.2357,-1.2029,1.2417,-1.1325,-0.3667,-2.6387,0.6434
2026-08-02 22:26:57,-1.2783,1.2588,-0.9761,0.7798,-0.1049,0.1254,0.5222,-0.0535,-0.6478,-0.8120,0.5090,-1.9017,1.6782,0.1318,-0.3374,0.2661,-0.5943,-0.1780,-1.1317,0.3751,-0.0785,0.1875,1.4831,-0.8042,-0.1289,-1.6514,0.2982
2026-08-03 06:32:21,-0.0175,0.0173,-0.1574,-0.5782,2.4960,0.0382,0.2965,-1.1394,0.8851,-0.1235,0.4458,0.9023,-0.1039,-0.6770,-2.3277,-0.3872,-0.6824,-1.1431,1.4531,0.9828,-1.8298,0.1537,-0.8172,0.3668,-0.7996,-0.5390,0.5943
2026-08-03 14:37:45,0.8193,1.5095,-0.2170,-1.4557,0.9213,0.9271,0.6283,-0.7438,-1.0708,0.5360,-0.8862,-0.3080,2.9065,2.1289,0.7927,-0.6623,-0.7223,0.7158,1.4970,-0.5116,-0.4568,0.0877,-1.3890,-1.3584,-1.1760,0.5461,0.5110
2026-08-03 22:43:08,1.1370,-1.7372,-1.5169,0.4557,-0.8720,-0.7994,1.0128,-0.5529,-0.4359,-0.2501,-0.1894,0.6849,-1.2100,-0.1881,1.1624,2.1328,-1.3566,0.3310,-0.1901,-0.0988,-0.7896,0.7558,0.7045,2.5229,-1.3211,-1.7479,0.8500
2026-08-04 06:48:32,-0.0519,-0.4568,0.1882,-1.3949,0.3759,-0.0803,1.0738,0.8570,0.9403,0.1908,1.6043,0.5763,-0.5331,-0.8092,-0.6965,0.5888,-1.3316,0.1551,-0.8329,-1.2531,-1.0917,-0.0238,0.7638,-0.6759,-2.0760,3.1543,0.6453
2026-08-04 14:53:55,0.9323,1.6279,0.0924,-0.1350,1.3558,1.3490,0.6152,0.8825,-1.2388,-0.2575,1.7038,0.8043,-1.4620,-0.5311,1.5410,0.4552,0.1819,0.2120,-0.0836,-0.5242,-0.8336,1.0103,0.2375,0.7071,0.5467,1.4087,0.5218
2026-08-04 22:59:19,0.8236,0.1673,-0.9474,-0.2256,0.5899,0.6777,1.4510,-0.4599,0.2260,-0.1292,1.6243,0.3764,0.3956,-0.0357,-0.2251,-1.4487,-1.2612,0.1788,0.0541,0.1844,0.9414,0.0929,-0.3483,-0.2100,0.2439,-0.3800,0.6853
2026-08-05 07:04:43,-0.0113,0.2517,-0.8166,1.0649,1.4390,-1.3631,0.4009,-0.1079,0.2840,0.4521,-2.2350,0.7595,1.1124,1.2248,-0.9446,-0.0310,-0.5389,-1.9152,-0.6205,-1.0841,0.3345,-1.6314,-0.9795,-0.5195,0.7702,2.7778,0.5386
2026-08-05 15:10:06,-1.0321,-0.6791,0.6581,-1.3460,1.0967,0.2734,-0.1251,-1.6849,0.9204,-0.7616,0.1537,-0.1572,-1.5838,-0.2307,-1.2103,-0.6520,0.4328,0.7025,-0.0182,-0.8839,-0.6474,-0.6648,-2.1371,0.0733,-1.6661,0.0762,0.4211
2026-08-05 23:15:30,-1.2063,0.6686,0.0246,-1.8848,-0.5588,0.2619,-0.6193,-0.3432,0.2441,0.0447,-0.9923,0.0223,-0.2873,1.7241,-0.1031,0.1350,0.2598,-0.3223,-0.7199,0.4598,0.4679,2.0826,0.7424,0.7593,0.7177,-0.6903,0.2755
2026-08-06 07:20:53,-1.0036,0.6880,1.4216,0.7340,-0.1669,1.6767,-0.4437,-1.1482,0.2530,1.2919,-0.8438,-1.7048,0.0377,0.7714,-2.9646,0.9774,-1.3668,0.7248,-1.9967,-1.4749,0.6187,1.2158,-0.0091,2.3953,-1.0226,-1.0354,0.3457
2026-08-06 15:26:17,-0.3498,0.2835,-0.7429,0.5675,0.5436,1.6134,-0.4904,0.3370,0.6058,-0.0072,-0.2117,-2.0638,0.0834,0.5955,-0.0578,-0.7823,-1.6792,0.4531,0.0331,1.3900,-1.4494,-0.4703,-1.3213,1.0253,1.2390,1.9226,0.5057
2026-08-06 23:31:41,0.7893,0.4361,0.5731,0.0491,0.6188,2.1400,0.2187,0.0240,0.1981,-0.1491,0.2464,-0.1830,1.1440,1.0441,2.1659,-0.0235,0.2886,0.2470,0.1996,1.1300,-1.6250,0.4607,1.9958,1.3629,1.2486,0.8421,0.5713
2026-08-07 07:37:04,-0.7498,-0.7420,-1.1385,0.9466,1.4684,0.4344,0.8048,0.2935,0.5688,-2.1170,0.3147,-0.4255,-0.0402,0.2258,-0.7156,-1.0756,-0.7460,-1.4483,-1.1552,-1.0179,-1.4351,0.5288,-0.9005,-1.8632,-0.4013,-1.1132,0.6072
2026-08-07 15:42:28,0.1329,-1.4705,0.5687,0.0850,-0.2386,1.5746,-0.9755,1.0351,-0.4095,-0.0184,-0.7498,-0.6861,-0.4360,-1.9008,0.3466,0.1149,-1.4977,0.6600,1.4571,-0.6645,-0.7848,1.1134,0.4033,-0.1359,0.8146,0.2741,0.7844
2026-08-07 23:47:51,-0.0168,0.4265,1.0981,-2.4478,1.1342,-0.5051,0.4999,1.6641,-0.3059,-0.4555,-0.0547,-1.4523,2.1991,-0.0425,1.6456,-0.3332,0.0340,0.9443,-1.1022,-0.1026,0.9068,-0.2130,-0.4831,1.1152,1.4011,1.5601,0.4716
2026-08-08 07:53:15,-0.5793,-0.4716,0.7185,-1.1968,-1.1403,-0.7143,-0.9382,0.8844,0.8170,-0.4817,-0.1939,-2.5397,-0.4574,1.2440,-0.5118,-1.0925,1.3762,-1.1145,1.5461,2.8879,-0.1094,1.2438,-1.6689,-1.7129,-0.7967,0.8224,0.5277
2026-08-08 15:58:39,-0.1864,-1.2908,-0.1273,-0.6436,-0.9225,-1.0074,0.1919,-0.7203,-0.0065,-1.7690,0.5031,0.2407,-0.2314,0.1615,0.9342,-1.4488,0.0667,-1.3051,0.0876,-0.2589,-0.0249,0.8484,0.8185,1.0867,-0.3964,0.7032,0.6820
2026-08-09 00:04:02,-0.3712,0.1172,-0.1322,1.3949,0.8102,-0.3359,-0.4054,0.9576,1.3400,0.3155,0.6586,1.3031,-0.1748,0.0835,0.4867,-0.4290,1.6990,-0.4380,0.0613,1.9164,-1.8618,0.2160,-0.6606,0.0002,-1.2059,-0.3709,0.4950
2026-08-09 08:09:26,0.2383,0.8956,-2.3238,-0.1259,-0.1747,-0.0643,0.0323,-0.8301,-1.5470,0.2171,-0.9943,0.4027,-0.9372,0.6927,-0.0545,0.0150,-0.2463,-0.4067,-0.2330,1.1817,-1.5344,-0.6481,1.0567,0.8198,1.3435,-0.0592,0.4231
