timestamp,T_top_C,T_base_C,P_coluna_kPa,F_alimentacao_kg_h,D_destilado_kg_h,B_residuo_kg_h,R_refluxo,composicao
2026-08-01 06:00:00,78.2600,100.7360,101.2040,1000.4660,547.9783,452.4877,2.5619,0.8690
2026-08-01 06:21:36,77.8808,98.9943,100.9781,991.5663,548.8442,442.7221,2.5141,0.9500
2026-08-01 06:43:13,78.9272,100.0797,101.1164,990.3583,549.8510,440.5073,2.4866,0.8082
2026-08-01 07:04:49,78.0010,98.9753,101.3279,996.4914,548.6903,447.8010,2.5094,0.9500
2026-08-01 07:26:26,78.2361,99.3014,101.5881,992.8220,544.5603,448.2617,2.4110,0.8604
2026-08-01 07:48:03,77.5561,98.6536,101.7028,1012.7424,552.7885,459.9539,2.4517,0.9500
2026-08-01 08:09:39,78.2960,98.6963,101.2307,992.0042,538.5970,453.4072,2.6481,0.8230
2026-08-01 08:31:16,78.0221,99.4355,100.9236,1004.6458,546.2951,458.3507,2.5382,0.9500
2026-08-01 08:52:53,77.5111,99.6179,100.4568,988.3436,551.4528,436.8908,2.4592,0.9500
2026-08-01 09:14:29,78.3909,98.7860,101.8925,1002.8502,547.0668,455.7834,2.4864,0.8270
2026-08-01 09:36:06,78.0402,100.5576,102.4926,1001.1678,548.8601,452.3078,2.4815,0.9492
2026-08-01 09:57:43,78.2626,99.8438,100.2204,1006.4278,554.6678,451.7600,2.5572,0.8597
2026-08-01 10:19:19,78.4653,100.1496,101.2534,1000.2361,560.6627,439.5734,2.5307,0.7683
2026-08-01 10:40:56,78.6365,99.7010,100.7757,988.9605,551.1930,437.7675,2.4940,0.7354
2026-08-01 11:02:33,78.1558,99.4243,101.2501,1004.9159,541.1905,463.7254,2.3888,0.9003
2026-08-01 11:24:09,78.8631,100.6839,101.3039,1000.4554,537.7832,462.6723,2.5904,0.7971
2026-08-01 11:45:46,78.3416,98.8769,102.8839,1015.2054,551.4718,463.7337,2.5992,0.8308
2026-08-01 12:07:23,78.6105,98.8464,99.4810,987.3051,545.9676,441.3375,2.4356,0.7710
2026-08-01 12:28:59,78.0713,99.4857,100.3523,987.2883,550.2055,437.0828,2.4458,0.9479
2026-08-01 12:50:36,78.4722,100.3197,101.2836,1018.1334,552.0314,466.1021,2.5690,0.8077
2026-08-01 13:12:12,78.5599,99.0991,102.1664,996.2592,551.5084,444.7507,2.5133,0.7910
2026-08-01 13:33:49,78.3965,98.8069,102.9733,1008.3493,547.2475,461.1018,2.3863,0.8287
