timestamp,T_reator_C,vazao_L_min,pressao_bar,T_alimentacao_C,conversao,T_reator_lag1,T_reator_lag2,T_reator_ma3,dT_reator,vazao_lag1,vazao_ma3,dvazao
2026-08-01 06:00:00,85.6672,50.2432,2.4900,24.6346,0.8147,84.1306,84.5635,84.7871,1.5367,49.2154,49.9376,1.0277
2026-08-01 06:10:00,84.8750,50.1288,2.4089,24.9255,0.7999,84.8263,84.6689,84.7901,0.0487,50.1316,50.3871,-0.0028
2026-08-01 06:20:00,85.7196,49.7414,2.5767,25.4104,0.8186,83.9676,85.1324,84.9398,1.7520,51.4984,50.2787,-1.7569
2026-08-01 06:30:00,86.9677,49.4038,2.5146,25.2170,0.8330,85.4243,84.6542,85.6821,1.5434,50.3162,50.0788,-0.9124
2026-08-01 06:40:00,84.6272,52.2243,2.4886,25.1657,0.7962,87.3828,86.0467,86.0189,-2.7556,50.1867,51.4522,2.0376
2026-08-01 06:50:00,84.4886,51.4713,2.5174,24.9028,0.7907,85.5997,86.1600,85.4161,-1.1111,51.1142,50.8271,0.3571
2026-08-01 07:00:00,86.8858,52.8958,2.4830,25.1417,0.8383,85.1530,85.1403,85.7263,1.7328,51.3666,51.4860,1.5292
2026-08-01 07:10:00,86.6313,51.7682,2.4058,24.6065,0.8097,85.6721,84.7635,85.6890,0.9592,51.6723,50.8320,0.0959
2026-08-01 07:20:00,86.2036,53.9565,2.3407,25.3042,0.8229,86.6296,86.1712,86.3348,-0.4260,53.4312,52.6525,0.5253
2026-08-01 07:30:00,86.9696,52.8666,2.3940,25.3491,0.8470,86.1154,86.1584,86.4145,0.8542,52.6877,51.4107,0.1789
2026-08-01 07:40:00,86.1080,53.1414,2.4906,25.0050,0.8075,86.3561,85.9027,86.1223,-0.2482,53.1196,52.1855,0.0218
2026-08-01 07:50:00,86.1982,53.3061,2.4377,25.1959,0.8076,86.7292,86.5022,86.4765,-0.5310,52.8527,52.1511,0.4534
2026-08-01 08:00:00,87.1531,53.0964,2.5104,24.8938,0.8048,86.6552,85.8989,86.5691,0.4979,52.5216,51.6129,0.5748
2026-08-01 08:10:00,86.4538,52.4502,2.5486,25.0998,0.8156,87.3368,88.1675,87.3194,-0.8829,53.4060,52.2245,-0.9558
2026-08-01 08:20:00,87.0196,53.4161,2.3376,24.1886,0.7989,86.5003,87.4155,86.9785,0.5192,53.1786,52.0811,0.2375
2026-08-01 08:30:00,87.2166,53.0541,2.3645,25.1407,0.8324,87.9298,86.7728,87.3064,-0.7132,54.2528,52.3142,-1.1987
2026-08-01 08:40:00,88.1328,52.1221,2.5643,25.0860,0.8555,87.6093,86.3582,87.3668,0.5236,52.5026,52.1795,-0.3806
2026-08-01 08:50:00,87.0419,53.0312,2.3930,24.9262,0.8144,87.4326,87.3007,87.2584,-0.3907,53.5770,51.8771,-0.5458
2026-08-01 09:00:00,87.2743,52.1375,2.2555,25.1390,0.8406,87.7778,86.9519,87.3347,-0.5034,53.0437,51.8907,-0.9062
2026-08-01 09:10:00,86.6123,51.1090,2.4952,24.9293,0.8217,86.7911,87.0986,86.8340,-0.1788,51.2682,51.2494,-0.1593
