timestamp,T_reator_C,F_alimentacao_L_min,C_A0_mol_L,C_A_mol_L
2026-08-01 06:00:00,108.698,24.415,1.741,0.9795
2026-08-01 06:01:00,91.944,24.225,1.996,1.4968
2026-08-01 06:02:00,112.930,14.054,1.041,0.4087
2026-08-01 06:03:00,104.868,10.733,1.245,0.5393
2026-08-01 06:04:00,74.709,16.076,1.598,1.3573
2026-08-01 06:05:00,118.781,13.143,1.415,0.5666
2026-08-01 06:06:00,108.057,17.916,1.638,0.8566
2026-08-01 06:07:00,109.303,29.587,1.586,1.0096
2026-08-01 06:08:00,76.406,13.621,1.788,1.4980
2026-08-01 06:09:00,92.519,16.377,1.071,0.8462
2026-08-01 06:10:00,88.540,24.502,1.441,1.2322
2026-08-01 06:11:00,116.338,20.184,1.860,0.8428
2026-08-01 06:12:00,102.193,10.879,1.363,0.7489
2026-08-01 06:13:00,111.138,13.234,1.504,0.7925
2026-08-01 06:14:00,92.171,28.705,1.022,0.7175
2026-08-01 06:15:00,81.362,12.063,1.224,0.9679
2026-08-01 06:16:00,97.729,22.702,1.464,1.0592
2026-08-01 06:17:00,73.191,25.847,1.399,1.2393
2026-08-01 06:18:00,111.382,15.309,1.715,0.8412
2026-08-01 06:19:00,101.583,24.502,1.612,1.1479
2026-08-01 06:20:00,107.904,13.398,1.880,0.9893
2026-08-01 06:21:00,87.726,15.695,1.855,1.4214
2026-08-01 06:22:00,118.535,16.236,1.241,0.4441
2026-08-01 06:23:00,114.656,29.929,1.018,0.5911
2026-08-01 06:24:00,108.919,14.291,1.854,0.9233
2026-08-01 06:25:00,79.732,12.584,1.329,1.1048
2026-08-01 06:26:00,93.336,28.514,1.347,0.9038
2026-08-01 06:27:00,72.190,13.239,1.158,0.9234
2026-08-01 06:28:00,77.714,27.586,1.693,1.4060
2026-08-01 06:29:00,104.152,23.009,1.280,0.7602
2026-08-01 06:30:00,107.238,21.537,1.177,0.7803
2026-08-01 06:31:00,118.375,25.027,1.503,0.7796
2026-08-01 06:32:00,86.291,24.520,1.750,1.2937
2026-08-01 06:33:00,88.523,12.211,1.270,0.8416
2026-08-01 06:34:00,93.478,29.989,1.722,1.4990
2026-08-01 06:35:00,79.474,28.838,1.462,1.1787
2026-08-01 06:36:00,76.496,27.932,1.404,1.2839
2026-08-01 06:37:00,93.785,22.446,1.360,1.1090
2026-08-01 06:38:00,81.345,20.456,1.146,0.9441
2026-08-01 06:39:00,103.491,20.726,1.333,0.9694
2026-08-01 06:40:00,91.858,10.299,1.879,1.0799
2026-08-01 06:41:00,111.634,19.989,1.102,0.6938
2026-08-01 06:42:00,105.013,22.475,1.958,1.3347
2026-08-01 06:43:00,85.618,23.174,1.107,0.9010
2026-08-01 06:44:00,111.613,16.643,1.362,0.5991
2026-08-01 06:45:00,110.238,19.426,1.606,0.8359
2026-08-01 06:46:00,89.374,22.726,1.838,1.3011
2026-08-01 06:47:00,84.416,18.566,1.144,0.9381
2026-08-01 06:48:00,104.125,29.243,1.141,0.8387
2026-08-01 06:49:00,76.988,24.109,1.628,1.4281
2026-08-01 06:50:00,79.995,10.025,1.293,0.9155
2026-08-01 06:51:00,70.368,10.466,1.645,1.4095
2026-08-01 06:52:00,109.346,23.806,1.821,1.1392
2026-08-01 06:53:00,103.243,18.253,1.077,0.6272
2026-08-01 06:54:00,105.258,26.789,1.844,1.2656
2026-08-01 06:55:00,109.036,13.460,1.038,0.6195
2026-08-01 06:56:00,92.946,10.277,1.899,1.1450
