timestamp,T_reator_C,F_alimentacao_L_min,C_A0_mol_L,C_A_mol_L
2026-08-01 06:00:00,134.833,21.009,1.700,0.5008
2026-08-01 06:01:00,127.421,23.456,1.668,0.7935
2026-08-01 06:02:00,126.333,17.905,1.180,0.3571
2026-08-01 06:03:00,129.132,12.071,1.884,0.5403
2026-08-01 06:04:00,126.512,10.719,1.720,0.4880
2026-08-01 06:05:00,129.708,25.837,1.202,0.5168
2026-08-01 06:06:00,131.192,15.621,1.905,0.6259
2026-08-01 06:07:00,128.951,21.784,1.737,0.6326
2026-08-01 06:08:00,127.528,26.820,1.908,0.8479
2026-08-01 06:09:00,129.604,29.004,1.891,0.8247
2026-08-01 06:10:00,132.908,29.398,1.003,0.4047
2026-08-01 06:11:00,133.176,26.112,1.538,0.6949
2026-08-01 06:12:00,125.062,20.440,1.101,0.5420
2026-08-01 06:13:00,125.450,15.325,1.340,0.4681
2026-08-01 06:14:00,134.173,10.348,1.298,0.2847
2026-08-01 06:15:00,127.278,14.513,1.513,0.6073
2026-08-01 06:16:00,129.063,14.730,1.846,0.5558
2026-08-01 06:17:00,126.124,20.524,1.145,0.4365
2026-08-01 06:18:00,128.345,22.548,1.467,0.6694
2026-08-01 06:19:00,132.612,29.603,1.854,0.7976
2026-08-01 06:20:00,125.530,17.814,1.467,0.5111
2026-08-01 06:21:00,129.484,28.769,1.269,0.6469
2026-08-01 06:22:00,131.158,26.145,1.561,0.7524
2026-08-01 06:23:00,127.865,24.139,1.016,0.4178
2026-08-01 06:24:00,133.212,13.500,1.454,0.3837
2026-08-01 06:25:00,125.037,22.359,1.525,0.7359
2026-08-01 06:26:00,129.271,21.857,1.221,0.4467
2026-08-01 06:27:00,133.520,25.809,1.251,0.5638
2026-08-01 06:28:00,126.167,21.584,1.104,0.5597
2026-08-01 06:29:00,126.920,29.269,1.893,0.8670
2026-08-01 06:30:00,131.552,13.981,1.049,0.2179
2026-08-01 06:31:00,128.145,13.310,1.892,0.4713
