timestamp,mdot_kg_s,T_entrada_C,T_vapor_C,T_saida_C,Q_W
2026-08-01 06:00:00,2.327,53.124,148.761,285.636,2261159.34
2026-08-01 06:01:00,7.079,58.616,133.290,120.170,1821334.20
2026-08-01 06:02:00,4.197,55.479,129.411,156.388,1770263.06
2026-08-01 06:03:00,5.507,50.148,146.841,156.827,2455642.00
2026-08-01 06:04:00,7.564,68.425,124.028,109.067,1284951.74
2026-08-01 06:05:00,2.181,58.127,148.233,292.024,2132809.37
2026-08-01 06:06:00,7.808,57.553,144.270,127.113,2270301.92
2026-08-01 06:07:00,5.151,57.619,131.507,141.117,1797837.77
2026-08-01 06:08:00,6.684,48.672,143.621,136.667,2458685.77
2026-08-01 06:09:00,4.838,55.707,142.684,164.366,2197506.20
2026-08-01 06:10:00,6.895,54.180,137.396,127.152,2103271.41
2026-08-01 06:11:00,7.283,65.532,143.443,130.815,1987527.85
2026-08-01 06:12:00,4.290,69.154,135.003,151.795,1481946.43
2026-08-01 06:13:00,6.336,49.322,145.272,141.079,2430079.40
2026-08-01 06:14:00,7.992,54.033,143.799,122.129,2274763.03
2026-08-01 06:15:00,6.543,41.611,147.190,144.417,2811632.89
2026-08-01 06:16:00,7.741,63.817,143.926,127.236,2052150.54
2026-08-01 06:17:00,6.420,58.427,147.628,141.148,2219749.48
2026-08-01 06:18:00,3.979,66.959,125.345,145.335,1303668.09
2026-08-01 06:19:00,6.963,54.200,128.319,115.946,1797103.21
2026-08-01 06:20:00,5.998,58.346,133.574,132.706,1864344.23
2026-08-01 06:21:00,2.198,33.806,127.285,275.507,2221079.54
2026-08-01 06:22:00,3.035,54.269,146.901,229.757,2225994.93
2026-08-01 06:23:00,3.568,45.071,125.393,172.315,1897541.58
2026-08-01 06:24:00,6.461,50.324,133.767,128.094,2100453.05
2026-08-01 06:25:00,6.783,43.063,135.649,130.541,2480189.32
2026-08-01 06:26:00,6.961,41.490,146.192,134.713,2712639.23
2026-08-01 06:27:00,2.403,62.829,127.774,210.959,1488075.69
2026-08-01 06:28:00,2.433,52.305,149.088,279.058,2306014.06
2026-08-01 06:29:00,3.797,40.128,128.759,179.165,2206518.00
2026-08-01 06:30:00,6.087,60.669,124.890,121.705,1553119.77
2026-08-01 06:31:00,7.053,32.992,127.607,115.698,2438339.60
2026-08-01 06:32:00,7.216,41.726,146.432,133.482,2767724.91
2026-08-01 06:33:00,3.245,43.452,124.572,189.364,1979222.04
2026-08-01 06:34:00,6.604,37.103,120.958,113.864,2119115.52
2026-08-01 06:35:00,5.845,63.708,128.748,127.207,1551324.05
2026-08-01 06:36:00,7.560,56.956,136.337,121.138,2028317.69
2026-08-01 06:37:00,6.637,56.812,130.700,124.556,1879447.05
2026-08-01 06:38:00,5.172,53.708,124.821,131.178,1674730.48
2026-08-01 06:39:00,6.699,45.132,130.926,121.100,2127297.41
2026-08-01 06:40:00,3.850,56.360,140.777,187.200,2105414.90
2026-08-01 06:41:00,6.717,59.451,133.083,123.732,1804764.55
2026-08-01 06:42:00,6.687,51.539,137.182,130.861,2217168.39
2026-08-01 06:43:00,7.131,48.829,148.412,134.580,2556133.59
2026-08-01 06:44:00,3.454,38.941,142.447,215.094,2543525.22
2026-08-01 06:45:00,7.094,33.360,144.115,133.264,2962445.97
2026-08-01 06:46:00,3.014,31.652,128.640,221.598,2393271.02
2026-08-01 06:47:00,6.631,58.570,135.342,126.174,1873943.66
2026-08-01 06:48:00,7.580,43.946,130.338,114.453,2233824.56
2026-08-01 06:49:00,2.215,58.336,134.536,245.082,1728860.19
2026-08-01 06:50:00,5.756,50.316,123.356,125.084,1798938.75
2026-08-01 06:51:00,5.958,47.875,135.554,136.782,2213992.86
2026-08-01 06:52:00,6.891,55.157,135.774,125.378,2022640.42
2026-08-01 06:53:00,2.617,37.330,137.249,255.711,2388827.64
2026-08-01 06:54:00,7.457,69.187,127.038,111.910,1331621.53
2026-08-01 06:55:00,7.963,43.209,126.644,106.565,2108745.10
2026-08-01 06:56:00,6.033,60.767,131.032,129.441,1731693.35
2026-08-01 06:57:00,4.580,39.915,136.131,166.948,2431759.77
2026-08-01 06:58:00,5.810,48.717,130.103,130.958,1997324.85
2026-08-01 06:59:00,2.328,49.972,141.184,276.673,2206255.82
2026-08-01 07:00:00,6.518,42.266,137.554,132.612,2461553.19
2026-08-01 07:01:00,2.420,43.945,123.385,228.984,1871628.30
2026-08-01 07:02:00,3.936,47.412,126.717,161.572,1878005.33
2026-08-01 07:03:00,2.836,63.448,138.138,215.299,1800363.86
2026-08-01 07:04:00,6.356,50.002,135.959,132.450,2190575.52
2026-08-01 07:05:00,5.567,33.543,130.176,142.045,2524647.01
2026-08-01 07:06:00,6.195,38.667,125.156,122.083,2160146.98
2026-08-01 07:07:00,2.387,69.441,147.613,245.080,1752754.90
2026-08-01 07:08:00,4.222,33.595,133.483,172.971,2459964.95
2026-08-01 07:09:00,4.437,55.909,126.376,148.210,1711875.04
2026-08-01 07:10:00,5.614,38.446,141.627,149.029,2595160.99
2026-08-01 07:11:00,2.614,47.277,127.678,224.806,1939756.62
2026-08-01 07:12:00,5.883,44.281,127.969,128.421,2069246.39
2026-08-01 07:13:00,4.368,69.087,144.812,169.864,1840086.02
2026-08-01 07:14:00,7.436,52.051,147.235,131.721,2476196.12
2026-08-01 07:15:00,4.699,39.997,134.043,159.298,2343224.19
2026-08-01 07:16:00,2.612,54.143,138.969,236.969,1996447.08
2026-08-01 07:17:00,2.620,32.856,130.830,244.835,2321879.33
2026-08-01 07:18:00,3.526,67.066,139.009,186.108,1754408.73
2026-08-01 07:19:00,3.439,43.770,141.840,213.375,2437990.94
2026-08-01 07:20:00,6.780,65.335,141.630,130.539,1847935.18
2026-08-01 07:21:00,6.334,62.368,121.221,113.457,1352715.38
2026-08-01 07:22:00,2.460,37.472,122.958,235.523,2036553.97
2026-08-01 07:23:00,7.109,68.492,141.239,129.187,1803500.75
2026-08-01 07:24:00,2.577,69.667,135.955,204.397,1451167.22
2026-08-01 07:25:00,6.714,62.212,148.300,143.484,2280795.21
2026-08-01 07:26:00,2.670,48.060,123.107,196.339,1654700.09
2026-08-01 07:27:00,4.258,56.902,149.690,185.290,2285194.28
2026-08-01 07:28:00,6.506,33.226,124.006,118.418,2316654.09
2026-08-01 07:29:00,3.522,66.845,120.943,147.051,1180732.38
2026-08-01 07:30:00,2.680,38.870,146.970,278.591,2685423.26
2026-08-01 07:31:00,6.723,58.668,135.121,127.049,1921679.61
2026-08-01 07:32:00,6.146,62.061,128.600,124.723,1609758.81
2026-08-01 07:33:00,7.348,68.783,137.154,123.401,1677482.96
2026-08-01 07:34:00,5.849,62.952,131.326,131.205,1668795.07
2026-08-01 07:35:00,2.444,62.722,149.658,263.091,2046713.67
2026-08-01 07:36:00,5.832,58.215,143.220,143.373,2075882.96
2026-08-01 07:37:00,6.935,53.066,139.678,130.398,2241731.28
2026-08-01 07:38:00,2.502,31.675,129.663,264.384,2433816.14
2026-08-01 07:39:00,2.814,68.908,120.775,163.789,1116106.30
2026-08-01 07:40:00,6.065,47.959,143.921,144.927,2458469.07
2026-08-01 07:41:00,6.748,61.872,121.434,111.908,1411363.12
2026-08-01 07:42:00,4.119,45.091,123.394,152.396,1847471.65
2026-08-01 07:43:00,6.412,48.242,137.670,132.307,2252973.34
2026-08-01 07:44:00,3.004,48.494,142.708,233.181,2319224.51
2026-08-01 07:45:00,4.664,69.600,132.268,145.070,1471338.80
2026-08-01 07:46:00,6.488,38.454,137.672,135.656,2636033.29
2026-08-01 07:47:00,3.194,50.071,149.209,234.698,2464874.73
2026-08-01 07:48:00,4.093,36.188,128.439,168.630,2266139.05
2026-08-01 07:49:00,5.774,49.765,121.319,122.857,1764229.69
2026-08-01 07:50:00,4.076,51.839,126.656,156.703,1786626.75
2026-08-01 07:51:00,7.245,35.466,133.394,117.024,2469891.71
2026-08-01 07:52:00,7.740,57.930,143.321,126.706,2225207.30
2026-08-01 07:53:00,5.854,63.119,132.578,132.590,1699835.92
2026-08-01 07:54:00,6.694,62.641,137.667,132.606,1957791.24
2026-08-01 07:55:00,7.440,59.169,136.974,121.547,1939966.58
2026-08-01 07:56:00,6.211,35.635,134.635,134.952,2578525.43
2026-08-01 07:57:00,6.640,54.859,124.770,115.786,1691013.65
2026-08-01 07:58:00,2.481,57.934,122.041,194.378,1415184.66
2026-08-01 07:59:00,6.943,60.374,126.089,117.569,1659787.13
2026-08-01 08:00:00,3.647,58.376,128.106,161.732,1575778.42
2026-08-01 08:01:00,2.425,55.152,125.627,213.748,1607488.77
2026-08-01 08:02:00,5.537,59.110,125.774,130.257,1646620.57
2026-08-01 08:03:00,3.361,64.093,138.252,185.156,1700666.21
2026-08-01 08:04:00,2.479,52.773,133.635,233.684,1874704.15
2026-08-01 08:05:00,5.657,35.812,127.506,135.465,2356573.68
2026-08-01 08:06:00,2.591,62.638,127.074,193.681,1419416.01
2026-08-01 08:07:00,7.323,56.441,124.297,111.109,1673492.44
2026-08-01 08:08:00,7.816,57.464,140.754,121.645,2096726.75
2026-08-01 08:09:00,6.429,41.768,134.278,131.780,2418973.48
2026-08-01 08:10:00,3.726,35.986,139.936,206.373,2653708.69
2026-08-01 08:11:00,5.375,61.229,131.354,135.977,1679478.60
2026-08-01 08:12:00,2.188,31.977,122.550,252.823,2020115.34
2026-08-01 08:13:00,5.728,46.094,144.691,152.276,2542492.15
2026-08-01 08:14:00,3.583,50.354,121.247,163.708,1697713.99
2026-08-01 08:15:00,4.730,30.697,131.025,160.097,2558498.54
2026-08-01 08:16:00,3.073,53.880,137.554,210.711,2014643.91
2026-08-01 08:17:00,7.919,34.785,139.935,118.814,2781573.74
2026-08-01 08:18:00,3.245,39.658,134.453,209.264,2300234.61
2026-08-01 08:19:00,4.502,69.743,143.967,163.507,1764341.03
