timestamp,F_alimentacao_L_min,u_step,CA_mol_L
2026-08-01 00:00:00,11.096,11.096,0.5123
2026-08-01 00:01:00,11.096,11.096,-0.0822
2026-08-01 00:02:00,11.096,11.096,-0.6514
2026-08-01 00:03:00,11.096,11.096,-1.1558
2026-08-01 00:04:00,11.096,11.096,-1.5964
2026-08-01 00:05:00,11.096,11.096,-1.9637
2026-08-01 00:06:00,11.096,11.096,-2.3189
2026-08-01 00:07:00,11.096,11.096,-2.6444
2026-08-01 00:08:00,11.096,11.096,-2.9578
2026-08-01 00:09:00,11.096,11.096,-3.2002
2026-08-01 00:10:00,11.096,11.096,-3.4368
2026-08-01 00:11:00,11.096,11.096,-3.6456
2026-08-01 00:12:00,11.096,11.096,-3.8224
2026-08-01 00:13:00,11.096,11.096,-4.0061
2026-08-01 00:14:00,11.096,11.096,-4.1508
2026-08-01 00:15:00,11.096,11.096,-4.3013
2026-08-01 00:16:00,11.096,11.096,-4.4214
2026-08-01 00:17:00,11.096,11.096,-4.5267
2026-08-01 00:18:00,11.096,11.096,-4.6693
2026-08-01 00:19:00,11.096,11.096,-4.7373
2026-08-01 00:20:00,11.096,11.096,-4.8220
2026-08-01 00:21:00,11.096,11.096,-4.8989
2026-08-01 00:22:00,11.096,11.096,-4.9578
2026-08-01 00:23:00,11.096,11.096,-4.9820
2026-08-01 00:24:00,11.096,11.096,-5.0828
2026-08-01 00:25:00,11.096,11.096,-5.0944
2026-08-01 00:26:00,11.096,11.096,-5.1908
2026-08-01 00:27:00,11.096,11.096,-5.2029
2026-08-01 00:28:00,11.096,11.096,-5.2281
2026-08-01 00:29:00,11.096,11.096,-5.2513
2026-08-01 00:30:00,10.851,10.851,-5.2773
2026-08-01 00:31:00,10.851,10.851,-5.3013
2026-08-01 00:32:00,10.851,10.851,-5.3472
2026-08-01 00:33:00,10.851,10.851,-5.3703
2026-08-01 00:34:00,10.851,10.851,-5.3625
2026-08-01 00:35:00,10.851,10.851,-5.3881
2026-08-01 00:36:00,10.851,10.851,-5.4139
2026-08-01 00:37:00,10.851,10.851,-5.4148
2026-08-01 00:38:00,10.851,10.851,-5.4139
2026-08-01 00:39:00,10.851,10.851,-5.3886
2026-08-01 00:40:00,10.851,10.851,-5.3984
2026-08-01 00:41:00,10.851,10.851,-5.3899
2026-08-01 00:42:00,10.851,10.851,-5.4144
2026-08-01 00:43:00,10.851,10.851,-5.4047
2026-08-01 00:44:00,10.851,10.851,-5.3971
2026-08-01 00:45:00,10.851,10.851,-5.4174
2026-08-01 00:46:00,10.851,10.851,-5.4036
2026-08-01 00:47:00,10.851,10.851,-5.4272
2026-08-01 00:48:00,10.851,10.851,-5.4224
