timestamp,T_reator_C,pressao_bar,rendimento_pct
2026-08-01 06:00:00,116.44,8.63,91.79
2026-08-01 06:01:00,96.33,7.48,88.66
2026-08-01 06:02:00,121.52,5.53,90.54
2026-08-01 06:03:00,111.84,11.94,91.06
2026-08-01 06:04:00,75.65,6.22,76.77
2026-08-01 06:05:00,128.54,6.79,90.49
2026-08-01 06:06:00,115.67,6.65,91.74
2026-08-01 06:07:00,117.16,11.36,91.98
2026-08-01 06:08:00,77.69,10.35,77.46
2026-08-01 06:09:00,97.02,8.20,88.49
2026-08-01 06:10:00,92.25,11.69,86.96
2026-08-01 06:11:00,125.61,5.37,89.47
2026-08-01 06:12:00,108.63,11.26,89.44
2026-08-01 06:13:00,119.37,5.42,90.62
2026-08-01 06:14:00,96.60,7.74,88.92
2026-08-01 06:15:00,83.63,5.38,82.67
2026-08-01 06:16:00,103.28,11.99,88.90
2026-08-01 06:17:00,73.83,11.40,75.63
2026-08-01 06:18:00,119.66,9.09,91.72
2026-08-01 06:19:00,107.90,6.52,91.24
2026-08-01 06:20:00,115.49,6.94,91.23
2026-08-01 06:21:00,91.27,8.15,87.93
2026-08-01 06:22:00,128.24,7.26,90.09
2026-08-01 06:23:00,123.59,5.15,89.59
2026-08-01 06:24:00,116.70,9.59,93.75
2026-08-01 06:25:00,81.68,9.29,81.09
2026-08-01 06:26:00,98.00,11.33,88.92
2026-08-01 06:27:00,72.63,8.34,75.38
2026-08-01 06:28:00,79.26,7.41,79.69
2026-08-01 06:29:00,110.98,8.58,92.59
2026-08-01 06:30:00,114.69,6.36,91.84
2026-08-01 06:31:00,128.05,9.38,90.74
2026-08-01 06:32:00,89.55,10.39,85.07
2026-08-01 06:33:00,92.23,6.07,86.52
2026-08-01 06:34:00,98.17,7.23,89.22
2026-08-01 06:35:00,81.37,11.07,79.66
2026-08-01 06:36:00,77.80,8.54,78.54
2026-08-01 06:37:00,98.54,8.72,89.65
2026-08-01 06:38:00,83.61,10.06,82.49
2026-08-01 06:39:00,110.19,9.05,92.20
2026-08-01 06:40:00,96.23,5.49,89.60
2026-08-01 06:41:00,119.96,10.63,92.08
2026-08-01 06:42:00,112.02,11.46,90.85
2026-08-01 06:43:00,88.74,5.37,84.95
2026-08-01 06:44:00,119.94,5.85,92.54
2026-08-01 06:45:00,118.29,9.91,90.86
2026-08-01 06:46:00,93.25,9.23,88.77
2026-08-01 06:47:00,87.30,7.68,83.70
2026-08-01 06:48:00,110.95,8.77,92.51
2026-08-01 06:49:00,78.39,9.92,78.32
2026-08-01 06:50:00,81.99,8.53,81.04
2026-08-01 06:51:00,70.44,5.98,70.80
2026-08-01 06:52:00,117.22,5.63,92.25
2026-08-01 06:53:00,109.89,8.07,90.71
2026-08-01 06:54:00,112.31,11.46,89.88
2026-08-01 06:55:00,116.84,8.90,92.83
2026-08-01 06:56:00,97.53,7.51,90.36
2026-08-01 06:57:00,104.12,11.36,89.44
2026-08-01 06:58:00,78.39,7.72,79.39
