timestamp,tempo_min,F_alimentacao_L_min,CA_mol_L
2026-08-01 00:00:00,0,50.0,0.5030
2026-08-01 00:01:00,1,50.0,0.4396
2026-08-01 00:02:00,2,50.0,0.4125
2026-08-01 00:03:00,3,50.0,0.3739
2026-08-01 00:04:00,4,50.0,0.3085
2026-08-01 00:05:00,5,50.0,0.2822
2026-08-01 00:06:00,6,50.0,0.2670
2026-08-01 00:07:00,7,50.0,0.2360
2026-08-01 00:08:00,8,50.0,0.2151
2026-08-01 00:09:00,9,50.0,0.1852
2026-08-01 00:10:00,10,50.0,0.1831
2026-08-01 00:11:00,11,50.0,0.1647
2026-08-01 00:12:00,12,50.0,0.1419
2026-08-01 00:13:00,13,50.0,0.1384
2026-08-01 00:14:00,14,50.0,0.1191
2026-08-01 00:15:00,15,50.0,0.0944
2026-08-01 00:16:00,16,50.0,0.0963
2026-08-01 00:17:00,17,50.0,0.0738
2026-08-01 00:18:00,18,50.0,0.0838
2026-08-01 00:19:00,19,50.0,0.0670
2026-08-01 00:20:00,20,50.0,0.0589
2026-08-01 00:21:00,21,50.0,0.0479
2026-08-01 00:22:00,22,50.0,0.0615
2026-08-01 00:23:00,23,50.0,0.0428
2026-08-01 00:24:00,24,50.0,0.0356
2026-08-01 00:25:00,25,50.0,0.0324
2026-08-01 00:26:00,26,50.0,0.0376
2026-08-01 00:27:00,27,50.0,0.0327
2026-08-01 00:28:00,28,50.0,0.0303
2026-08-01 00:29:00,29,50.0,0.0279
2026-08-01 00:30:00,30,50.0,0.0426
2026-08-01 00:31:00,31,50.0,0.0150
2026-08-01 00:32:00,32,50.0,0.0120
2026-08-01 00:33:00,33,50.0,0.0073
2026-08-01 00:34:00,34,50.0,0.0201
2026-08-01 00:35:00,35,50.0,0.0238
2026-08-01 00:36:00,36,50.0,0.0101
2026-08-01 00:37:00,37,50.0,0.0017
2026-08-01 00:38:00,38,50.0,0.0009
2026-08-01 00:39:00,39,50.0,0.0147
2026-08-01 00:40:00,40,50.0,0.0148
2026-08-01 00:41:00,41,50.0,0.0121
2026-08-01 00:42:00,42,50.0,-0.0007
2026-08-01 00:43:00,43,50.0,0.0077
2026-08-01 00:44:00,44,50.0,0.0060
2026-08-01 00:45:00,45,50.0,0.0066
2026-08-01 00:46:00,46,50.0,0.0126
2026-08-01 00:47:00,47,50.0,0.0058
2026-08-01 00:48:00,48,50.0,0.0100
2026-08-01 00:49:00,49,50.0,0.0035
2026-08-01 00:50:00,50,60.0,0.0055
2026-08-01 00:51:00,51,60.0,0.0086
2026-08-01 00:52:00,52,60.0,-0.0125
2026-08-01 00:53:00,53,60.0,-0.0513
2026-08-01 00:54:00,54,60.0,-0.0980
2026-08-01 00:55:00,55,60.0,-0.1404
2026-08-01 00:56:00,56,60.0,-0.1733
