dia,vibracao_rms_mm_s,temperatura_mancal_C,vazao_L_min,RUL_dias
1,3.099,37.44,29.62,179
2,3.276,37.96,29.02,178
3,3.363,43.43,29.59,177
4,3.438,38.39,30.11,176
5,3.145,38.75,31.14,175
6,3.161,43.24,31.97,174
7,3.607,44.92,29.58,173
8,3.343,38.88,31.09,172
9,3.067,40.17,30.04,171
10,3.160,41.31,31.34,170
11,3.274,43.47,30.94,169
12,3.749,39.48,29.66,168
13,3.693,40.67,31.95,167
14,3.907,42.29,30.80,166
15,3.622,41.85,30.94,165
16,3.848,40.72,30.58,164
17,4.038,41.16,30.98,163
18,3.807,39.38,31.91,162
19,4.087,41.16,31.48,161
20,3.801,41.20,31.95,160
21,3.941,42.03,32.02,159
22,3.986,40.93,32.84,158
23,3.791,42.55,31.55,157
24,4.346,43.44,30.68,156
25,4.109,42.23,32.75,155
26,4.304,42.61,31.66,154
27,4.494,42.24,32.84,153
28,4.534,42.24,32.28,152
29,4.650,41.24,31.88,151
30,4.471,42.87,32.27,150
31,4.423,42.33,33.56,149
32,4.576,45.70,33.66,148
33,4.144,45.00,32.05,147
34,4.266,43.30,32.11,146
35,4.353,41.66,32.83,145
36,4.501,41.21,31.27,144
37,4.970,44.75,32.19,143
38,4.629,43.43,31.87,142
39,4.837,43.84,32.11,141
40,5.390,40.58,31.15,140
41,4.943,44.67,30.50,139
42,5.322,44.04,30.07,138
43,4.870,41.77,30.78,137
44,5.139,42.81,31.25,136
45,4.965,44.00,31.32,135
46,5.199,43.76,33.04,134
47,5.602,43.32,32.31,133
48,4.882,43.68,30.58,132
49,5.581,43.54,31.55,131
50,5.572,44.23,30.87,130
51,5.372,46.29,30.89,129
52,5.167,40.31,31.18,128
53,5.672,43.88,31.44,127
54,5.542,44.58,30.58,126
55,5.820,44.84,31.61,125
56,5.807,43.92,29.76,124
57,6.331,41.92,30.58,123
58,5.829,45.13,32.56,122
59,5.644,47.31,30.56,121
60,6.055,42.50,31.43,120
61,6.117,46.18,30.26,119
62,6.509,44.47,30.55,118
63,6.402,44.95,29.94,117
64,6.308,43.54,29.75,116
65,6.690,44.70,29.16,115
66,5.945,47.23,30.03,114
67,6.159,46.23,28.90,113
68,6.124,48.04,30.02,112
69,6.335,47.29,30.26,111
70,6.089,46.26,29.59,110
71,6.742,48.30,28.98,109
72,6.535,46.42,29.48,108
73,6.211,47.08,28.78,107
74,6.398,45.48,29.69,106
75,6.846,46.10,27.39,105
76,7.054,45.03,28.51,104
77,7.452,47.64,27.11,103
78,7.777,44.47,27.43,102
79,7.077,47.49,29.64,101
80,6.706,46.11,29.20,100
81,6.414,48.24,27.85,99
82,7.184,47.69,27.16,98
83,6.910,49.37,25.94,97
84,7.080,47.82,27.82,96
85,7.071,44.44,30.15,95
86,7.263,46.78,28.52,94
87,7.675,45.20,27.68,93
88,7.453,46.26,28.47,92
89,7.408,49.39,26.82,91
90,7.196,48.16,27.81,90
91,7.054,46.23,28.11,89
92,7.461,45.84,27.94,88
93,7.642,47.49,28.64,87
94,8.239,45.70,28.28,86
95,7.798,46.59,28.54,85
96,8.104,48.15,27.46,84
97,7.710,49.49,28.74,83
98,7.555,48.75,29.34,82
99,7.672,44.48,27.28,81
100,7.795,48.46,27.37,80
101,8.702,48.19,29.18,79
102,7.868,48.78,28.00,78
103,8.417,50.66,29.31,77
104,7.945,45.23,27.88,76
105,8.547,47.51,29.45,75
106,8.434,49.37,28.44,74
107,8.323,46.19,28.60,73
108,8.409,50.85,29.71,72
109,8.276,49.27,28.23,71
110,8.658,50.07,27.84,70
111,8.440,48.02,28.30,69
112,8.260,50.18,29.10,68
113,8.296,50.64,27.56,67
114,8.784,49.47,29.41,66
115,9.258,49.55,28.55,65
116,8.884,49.69,29.99,64
117,8.853,48.06,27.25,63
118,9.027,49.22,28.62,62
119,9.386,49.29,28.00,61
120,9.113,50.18,28.78,60
121,8.977,51.18,29.74,59
122,9.486,48.17,29.49,58
123,9.336,49.65,29.53,57
124,9.723,52.14,29.71,56
125,9.371,48.88,30.10,55
126,9.003,48.85,29.23,54
127,9.015,50.46,30.70,53
128,9.976,51.51,30.76,52
129,10.053,50.34,30.64,51
130,9.538,52.39,30.88,50
131,9.534,51.77,30.76,49
132,10.144,51.82,32.25,48
133,9.431,51.47,30.65,47
134,9.552,54.21,30.56,46
135,10.072,50.49,30.30,45
136,9.819,47.87,30.16,44
137,9.996,53.37,30.08,43
138,10.008,50.35,30.45,42
139,10.219,51.28,31.18,41
140,10.602,53.16,31.58,40
141,10.269,48.88,31.43,39
142,10.499,49.48,30.85,38
143,9.754,49.04,32.24,37
144,10.420,50.33,32.18,36
145,10.248,52.26,31.52,35
146,10.202,52.47,31.18,34
147,10.373,52.17,32.19,33
148,10.606,49.72,31.95,32
149,11.052,48.45,30.68,31
150,10.452,52.08,31.82,30
151,10.933,51.37,32.12,29
152,10.855,52.85,31.22,28
153,10.979,53.29,32.11,27
154,11.458,52.53,30.81,26
155,11.400,53.54,33.06,25
156,11.723,52.82,33.00,24
157,11.362,53.36,31.80,23
158,11.288,51.58,32.29,22
159,11.521,52.45,30.06,21
160,11.754,53.10,31.05,20
161,11.832,54.11,31.73,19
162,11.554,52.37,31.08,18
163,12.010,53.82,32.48,17
164,12.159,52.72,33.48,16
165,12.957,53.02,30.90,15
166,12.880,54.52,31.13,14
167,12.181,50.37,31.95,13
168,12.476,51.50,33.00,12
169,12.253,51.30,30.68,11
170,12.651,50.10,31.80,10
171,13.064,52.66,32.99,9
172,13.479,54.88,30.15,8
173,13.053,53.41,30.37,7
174,13.237,54.22,30.99,6
175,12.959,55.63,30.83,5
176,13.732,56.07,31.82,4
177,13.649,54.06,31.28,3
178,14.005,56.27,29.58,2
179,14.106,54.46,31.33,1
180,14.558,53.14,30.36,0
