timestamp,T_reator_C,conversao,U_trocador1_W_m2K,U_trocador2_W_m2K,rotulo
2026-01-01 00:00:00,90.169,0.8516,480.47,422.19,0
2026-01-01 00:05:00,89.419,0.8442,475.45,424.37,0
2026-01-01 00:10:00,90.322,0.8532,481.30,415.97,0
2026-01-01 00:15:00,90.193,0.8549,478.81,421.86,0
2026-01-01 00:20:00,89.840,0.8543,474.56,425.90,0
2026-01-01 00:25:00,89.975,0.8488,482.83,425.50,0
2026-01-01 00:30:00,89.524,0.8587,472.46,409.65,0
2026-01-01 00:35:00,90.300,0.8479,479.92,426.54,0
2026-01-01 00:40:00,90.075,0.8472,482.08,422.89,0
2026-01-01 00:45:00,90.105,0.8615,484.14,413.09,0
2026-01-01 00:50:00,90.201,0.8411,475.18,417.71,0
2026-01-01 00:55:00,89.743,0.8364,478.47,423.78,0
2026-01-01 01:00:00,89.392,0.8431,483.27,421.09,0
2026-01-01 01:05:00,90.383,0.8531,483.47,418.29,0
2026-01-01 01:10:00,90.275,0.8603,483.86,420.21,0
2026-01-01 01:15:00,89.786,0.8447,487.71,421.65,0
2026-01-01 01:20:00,90.164,0.8645,478.50,418.28,0
2026-01-01 01:25:00,90.503,0.8502,481.14,419.63,0
2026-01-01 01:30:00,90.455,0.8491,478.99,422.71,0
2026-01-01 01:35:00,89.774,0.8432,474.10,417.91,0
2026-01-01 01:40:00,89.404,0.8656,479.76,415.95,0
2026-01-01 01:45:00,89.473,0.8488,474.05,418.11,0
2026-01-01 01:50:00,89.875,0.8393,478.47,417.35,0
2026-01-01 01:55:00,90.585,0.8697,475.63,418.21,0
2026-01-01 02:00:00,89.709,0.8531,481.35,414.84,0
2026-01-01 02:05:00,89.761,0.8564,477.70,420.73,0
2026-01-01 02:10:00,89.753,0.8635,474.68,422.63,0
2026-01-01 02:15:00,89.787,0.8549,482.63,417.59,0
2026-01-01 02:20:00,89.996,0.8578,478.23,418.07,0
2026-01-01 02:25:00,89.488,0.8504,478.74,419.46,0
2026-01-01 02:30:00,90.434,0.8559,477.11,417.29,0
2026-01-01 02:35:00,89.942,0.8497,483.49,422.98,0
2026-01-01 02:40:00,90.992,0.8498,480.86,417.36,0
2026-01-01 02:45:00,89.531,0.8510,478.21,418.45,0
2026-01-01 02:50:00,90.636,0.8468,474.31,417.74,0
2026-01-01 02:55:00,90.557,0.8540,487.58,423.05,0
2026-01-01 03:00:00,89.835,0.8540,485.99,419.34,0
2026-01-01 03:05:00,89.842,0.8566,484.38,426.01,0
2026-01-01 03:10:00,89.631,0.8551,477.94,421.09,0
2026-01-01 03:15:00,89.636,0.8660,478.55,423.51,0
2026-01-01 03:20:00,90.000,0.8584,481.26,419.06,0
2026-01-01 03:25:00,90.008,0.8483,477.38,417.21,0
2026-01-01 03:30:00,89.359,0.8536,477.09,419.94,0
2026-01-01 03:35:00,90.917,0.8613,484.44,418.00,0
2026-01-01 03:40:00,89.896,0.8424,479.90,414.04,0
2026-01-01 03:45:00,90.026,0.8661,476.70,423.08,0
2026-01-01 03:50:00,89.750,0.8438,482.92,420.14,0
2026-01-01 03:55:00,89.893,0.8572,478.34,417.94,0
2026-01-01 04:00:00,89.857,0.8501,474.13,421.17,0
2026-01-01 04:05:00,89.999,0.8496,476.66,420.18,0
2026-01-01 04:10:00,89.994,0.8396,478.52,424.27,0
2026-01-01 04:15:00,90.322,0.8573,480.73,421.34,0
2026-01-01 04:20:00,90.091,0.8397,480.59,419.57,0
2026-01-01 04:25:00,90.282,0.8385,483.76,422.13,0
2026-01-01 04:30:00,89.996,0.8593,479.36,419.94,0
2026-01-01 04:35:00,90.093,0.8643,478.68,420.60,0
2026-01-01 04:40:00,89.903,0.8447,483.81,423.73,0
2026-01-01 04:45:00,90.401,0.8580,483.02,416.54,0
2026-01-01 04:50:00,90.129,0.8564,479.44,417.46,0
2026-01-01 04:55:00,89.937,0.8493,480.96,418.79,0
2026-01-01 05:00:00,89.925,0.8607,478.66,419.23,0
